enemy,gain,avg_player_life,avg_enemy_life,avg_duration,min_player_life,max_player_life,min_enemy_life,max_enemy_life,min_duration,max_duration
1,199.61,99.6,0.0,0.0,96,100,0,0,159,298
2,190.61,90.6,0.0,0.0,82,94,0,0,149,247
3,78.14333333333335,3.466666666666667,25.333333333333332,0.0,0,36,0,50.0,264,456
4,67.53666666666669,1.860000000000024,34.333333333333336,0.0,0,30.40000000000026,0,60.0,414,1079
5,174.99000000000026,74.98000000000026,0.0,0.0,61.600000000000335,88.60000000000011,0,0,234,412
6,194.69000000000003,94.68000000000002,0.0,0.0,79.0000000000002,98.20000000000002,0,0,160,232
7,191.85000000000008,91.84000000000006,0.0,0.0,67.00000000000031,94.60000000000005,0,0,123,205
8,139.49666666666695,40.48666666666695,1.0,0.0,0,71.80000000000027,0,30.0,276,669
