Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	86.6258	13.941512	100.0	36.4	303.25806	16.777166	11.312247	48.809296	-12.00327	10000	2.3283064e-08	73.27746	-0.012034911	-14.443024	0.40426674	0.015512089	0.08860886	16.0	29.265185594558716
1	84.73549	15.114393	100.0	48.4	303.2903	17.74162	11.489833	53.726475	-13.706024	20000	4.5945246e-08	74.856476	-0.008992904	-13.485008	0.422152	0.016105881	0.07140714	8.0	52.20999574661255
2	84.04516	15.782858	100.0	45.4	299.80646	17.360973	11.429149	55.46686	-15.1868925	30000	1.9247333e-08	72.25646	-0.012401362	-14.242515	0.42453608	0.015998289	0.08440844	14.0	79.55403566360474
3	86.2125	13.451945	100.0	47.8	282.78125	17.51519	11.620716	55.596275	-14.650147	40000	-4.4393044e-08	63.780643	-0.0078272475	-13.561272	0.40506473	0.015117629	0.0880088	10.0	103.70570278167725
4	86.47879	15.589891	100.0	36.0	285.42426	17.442776	11.531985	57.004272	-11.614416	50000	-4.346172e-08	77.89999	-0.0070253746	-17.434351	0.41483244	0.015108521	0.06420642	7.0	129.2240869998932
5	82.81212	24.075535	100.0	-20.0	284.0606	17.37641	11.283165	55.403053	-18.036274	60000	-6.2088173e-10	108.50635	-0.008304289	-27.322409	0.41547683	0.015048924	0.075307526	9.0	155.33854269981384
6	87.0	12.130503	100.0	56.2	289.9091	16.782597	11.401193	56.272663	-22.203016	70000	-1.071021e-08	63.604115	-0.008661856	-17.92306	0.4175218	0.01530676	0.07530753	11.0	182.52127695083618
7	85.7875	14.6277075	100.0	33.4	295.75	17.7016	11.340552	58.241432	-28.719547	80000	1.0554989e-08	75.6721	-0.012647741	-19.357832	0.411621	0.015217985	0.076207615	24.0	209.58125686645508
8	85.1125	14.378625	100.0	44.8	300.25	17.62636	11.087177	61.861782	-21.4761	90000	9.934108e-09	68.156044	-0.012421015	-12.48915	0.40800086	0.015133865	0.08920892	22.0	235.7288203239441
9	83.975	17.37554	100.0	37.6	298.21875	17.231337	11.547029	55.477753	-15.610946	100000	6.208817e-09	80.47176	-0.0098516075	-15.184125	0.42505112	0.015332542	0.07190719	14.0	262.14265489578247
10	83.606064	17.123402	100.0	23.2	289.45456	17.184956	10.698564	56.36436	-15.27261	110000	-3.0733645e-08	80.36703	-0.0123430425	-21.07293	0.410426	0.01593126	0.081208125	16.0	290.288204908371
11	87.836365	15.119761	100.0	31.0	278.27274	16.810686	11.371467	57.365135	-15.735852	120000	9.934108e-09	77.409615	-0.01099055	-18.430452	0.41192427	0.015249192	0.08630863	15.0	314.80405044555664
12	81.46875	19.288572	100.0	19.0	293.25	18.636919	11.432609	56.724216	-23.149462	130000	1.8626451e-08	83.73278	-0.012275324	-21.238392	0.43515515	0.015667059	0.096909694	18.0	341.2288670539856
13	78.02666	27.997702	100.0	-30.0	318.76666	17.482351	10.91122	52.17516	-19.593561	140000	-2.483527e-09	120.98224	-0.010690723	-35.824997	0.41644755	0.016114742	0.07740774	14.0	364.7914776802063
14	84.04375	14.773349	100.0	38.8	292.3125	16.359474	10.7426605	54.560326	-14.026469	150000	-1.8626451e-09	81.07358	-0.010473269	-23.365356	0.43735278	0.015045536	0.08960897	13.0	391.9977180957794
15	85.85334	15.391594	100.0	24.4	319.86667	16.550209	10.560801	53.83721	-18.25594	160000	2.6077032e-08	87.74473	-0.01127676	-22.388224	0.43263134	0.015393726	0.07580758	12.0	417.82347416877747
16	83.04516	16.66433	100.0	35.8	306.0645	18.216255	10.743262	54.17363	-14.914557	170000	3.3527613e-08	77.83571	-0.007944689	-20.086407	0.41772392	0.015030116	0.07330733	11.0	443.81942915916443
17	87.73125	12.626917	100.0	58.0	295.0	16.709238	10.720436	55.881546	-14.666355	180000	5.2774947e-08	71.78368	-0.006880241	-19.22527	0.4331049	0.015964879	0.07030704	8.0	469.2402672767639
18	86.89375	13.693427	100.0	50.2	300.5	17.380333	11.086751	56.91541	-21.951895	190000	2.0178657e-09	76.18651	-0.011374754	-15.0325365	0.41309473	0.015069344	0.08150815	15.0	495.38395857810974
19	85.6625	16.573278	100.0	34.6	310.84375	17.435467	10.474415	60.00459	-15.295324	200000	-3.1044085e-08	72.55127	-0.011845571	-16.551737	0.42513302	0.015159988	0.09490949	18.0	522.4772968292236
20	85.3	17.451075	100.0	18.4	277.6875	18.340965	11.375291	55.652374	-6.1059666	210000	1.0244548e-08	80.2687	-0.011209424	-19.433916	0.4103345	0.015178874	0.07320732	18.0	545.4114911556244
21	84.8606	16.026909	100.0	43.0	286.84848	17.028599	11.209707	58.96988	-20.055124	220000	-1.1796753e-08	69.11008	-0.009276637	-14.460918	0.43382862	0.01590593	0.07040704	14.0	574.0093486309052
22	85.10303	13.754658	100.0	47.8	279.84848	16.98841	11.389805	57.95802	-12.174734	230000	0.0	76.087654	-0.010312197	-17.976744	0.42612186	0.015693242	0.077107705	15.0	599.8973495960236
23	89.69091	10.427132	100.0	67.6	291.81818	16.644413	11.146312	53.076454	-11.710648	240000	2.483527e-09	75.2984	-0.012439056	-17.366924	0.41484222	0.015073021	0.08150815	20.0	626.1149282455444
24	87.4375	12.171528	100.0	59.8	283.90625	18.778048	11.005648	51.17759	-17.190655	250000	-2.483527e-09	76.23214	-0.011609408	-22.080803	0.42728487	0.015038895	0.083808385	13.0	651.4657559394836
25	82.741936	21.404985	100.0	-10.0	302.32257	17.93309	11.78078	55.261135	-32.715626	260000	-2.5456151e-08	84.789314	-0.00756772	-18.41937	0.41851708	0.016287891	0.082908295	8.0	676.6920418739319
26	85.98181	17.110151	100.0	16.6	286.72726	16.453104	12.11525	54.127632	-36.979527	270000	-2.576659e-08	74.09165	-0.009074534	-14.002514	0.4245892	0.015000704	0.070007	12.0	702.142725944519
