enemy,gain,avg_player_life,avg_enemy_life,avg_duration,min_player_life,max_player_life,min_enemy_life,max_enemy_life,min_duration,max_duration,percentage_games_lost
1,189.21,89.2,0.0,502.03333333333336,28,100,0,0,412,626,0.0
2,199.21,99.2,0.0,312.93333333333334,80,100,0,0,283,383,0.0
3,147.21,51.2,4.0,494.8333333333333,0,92,0,20.0,390,538,36.666666666666664
4,198.81,98.8,0.0,1127.4,80.79999999999995,100,0,0,1016,1269,0.0
5,191.73000000000002,91.72,0.0,293.46666666666664,74.79999999999994,98.8,0,0,270,352,0.0
6,196.85,96.83999999999999,0.0,713.1666666666666,89.19999999999997,100,0,0,692,812,0.0
7,184.8499999999999,84.83999999999992,0.0,401.73333333333335,81.99999999999996,85.59999999999997,0,0,396,455,0.0
8,178.04999999999993,78.03999999999992,0.0,316.5,63.999999999999915,79.59999999999995,0,0,311,374,0.0
