enemy,gain,avg_player_life,avg_enemy_life,avg_duration,min_player_life,max_player_life,min_enemy_life,max_enemy_life,min_duration,max_duration,percentage_games_lost
1,199.67666666666668,99.66666666666667,0.0,142.76666666666668,96,100,0,0,138,182,0.0
2,199.61,99.6,0.0,178.26666666666668,94,100,0,0,156,246,0.0
3,199.94333333333333,99.93333333333334,0.0,198.63333333333333,98,100,0,0,174,277,0.0
4,195.95000000000005,95.94000000000004,0.0,519.4333333333333,76.00000000000023,100,0,0,467,581,0.0
5,198.03000000000003,98.02000000000004,0.0,162.16666666666666,93.40000000000006,100,0,0,150,195,0.0
6,199.67000000000004,99.66000000000004,0.0,163.96666666666667,98.80000000000001,100,0,0,163,165,0.0
7,197.73,97.71999999999998,0.0,157.8,87.40000000000012,98.20000000000002,0,0,144,161,0.0
8,195.07,95.06,0.0,142.36666666666667,94.60000000000005,95.20000000000005,0,0,138,159,0.0
