enemy,gain,avg_player_life,avg_enemy_life,avg_duration,min_player_life,max_player_life,min_enemy_life,max_enemy_life,min_duration,max_duration
1,190.67666666666668,90.66666666666667,0.0,0.0,20,100,0,0,159,363
2,191.21,91.2,0.0,0.0,74,100,0,0,207,307
3,39.07666666666667,0.06666666666666667,61.0,0.0,0,2,0,90.0,192,624
4,73.86333333333339,4.520000000000051,30.666666666666668,0.0,0,58.00000000000033,0,60.0,404,827
5,178.69000000000023,78.68000000000023,0.0,0.0,62.80000000000034,93.40000000000006,0,0,181,480
6,170.39000000000027,70.38000000000025,0.0,0.0,13.00000000000023,91.60000000000008,0,0,219,480
7,165.31666666666692,65.97333333333357,0.6666666666666666,0.0,0,88.60000000000011,0,10.0,146,340
8,153.5500000000003,53.54000000000029,0.0,0.0,22.600000000000243,85.00000000000014,0,0,238,666
