enemy,gain,avg_player_life,avg_enemy_life,avg_duration,min_player_life,max_player_life,min_enemy_life,max_enemy_life,min_duration,max_duration,percentage_games_lost
1,193.01,93.0,0.0,298.4,80,100,0,0,177,404,0.0
2,187.34333333333333,87.33333333333333,0.0,215.6,82,94,0,0,162,254,0.0
3,187.94333333333333,87.93333333333334,0.0,397.1666666666667,60,100,0,0,275,488,0.0
4,154.8900000000003,54.880000000000294,0.0,813.7333333333333,16.60000000000023,80.20000000000019,0,0,690,1064,0.0
5,192.29000000000008,92.28000000000007,0.0,186.23333333333332,85.00000000000014,98.20000000000002,0,0,150,268,0.0
6,169.25000000000026,69.24000000000025,0.0,300.76666666666665,32.80000000000027,90.40000000000009,0,0,217,409,0.0
7,161.35666666666688,64.6800000000002,3.3333333333333335,252.1,0,88.00000000000011,0,50.0,136,431,10.0
8,174.69000000000023,74.68000000000023,0.0,287.3333333333333,53.80000000000032,91.60000000000008,0,0,192,378,0.0
