enemy,gain,avg_player_life,avg_enemy_life,avg_duration,min_player_life,max_player_life,min_enemy_life,max_enemy_life,min_duration,max_duration,percentage_games_lost
1,41.076666666666675,0.0,58.93333333333333,407.9,0,0,52.0,72.0,162,450,100.0
2,168.51,68.5,0.0,685.6333333333333,30,95,0,0,563,843,0.0
3,130.61,55.666666666666664,25.066666666666666,980.7333333333333,0,85,0,68.0,456,1000,3.3333333333333335
4,60.27666666666667,4.8,44.53333333333333,1325.2,0,25.0,32.0,72.0,666,1500,60.0
5,158.31,58.3,0.0,498.73333333333335,19.0,91.0,0,0,372,606,0.0
6,9.876666666666665,0.0,90.13333333333334,298.43333333333334,0,0,76.0,100,170,595,100.0
7,8.27666666666667,0.0,91.73333333333333,97.2,0,0,88.0,92.0,58,114,100.0
8,10.010000000000005,0.0,90.0,235.36666666666667,0,0,80.0,100,102,432,100.0
