enemy,gain,avg_player_life,avg_enemy_life,avg_duration,min_player_life,max_player_life,min_enemy_life,max_enemy_life,min_duration,max_duration,percentage_games_lost
1,33.510000000000005,0.0,66.5,578.9333333333333,0,0,45.0,85.0,481,615,100.0
2,37.67666666666667,0.0,62.333333333333336,459.46666666666664,0,0,35.0,80.0,385,721,100.0
3,25.676666666666677,0.0,74.33333333333333,495.53333333333336,0,0,55.0,90.0,339,599,100.0
4,29.676666666666677,0.0,70.33333333333333,601.5333333333333,0,0,50.0,90.0,279,1067,100.0
5,168.64999999999992,68.63999999999992,0.0,456.6,36.39999999999985,87.99999999999997,0,0,370,589,0.0
6,46.29666666666666,2.1199999999999846,55.833333333333336,1389.3,0,27.999999999999844,5.0,95.0,579,2200,90.0
7,17.510000000000005,0.0,82.5,172.76666666666668,0,0,60.0,95.0,41,211,100.0
8,32.843333333333334,0.0,67.16666666666667,456.3666666666667,0,0,45.0,90.0,211,575,100.0
