enemy,gain,avg_player_life,avg_enemy_life,avg_duration,min_player_life,max_player_life,min_enemy_life,max_enemy_life,min_duration,max_duration
1,144.21,47.86666666666667,3.6666666666666665,458.6333333333333,0,100,0,20.0,310,617
2,173.4766666666667,73.46666666666667,0.0,290.3333333333333,30,88,0,0,197,484
3,128.21,36.53333333333333,8.333333333333334,498.8666666666667,0,92,0,40.0,362,637
4,135.5233333333336,35.84666666666694,0.3333333333333333,796.8,0,65.80000000000032,0,10.0,659,1132
5,179.81000000000017,79.80000000000018,0.0,215.66666666666666,65.80000000000032,92.20000000000007,0,0,170,270
6,127.43000000000025,32.753333333333565,5.333333333333333,434.5,0,67.6000000000003,0,70.0,278,620
7,127.47666666666687,38.133333333333546,10.666666666666666,322.43333333333334,0,76.60000000000022,0,80.0,79,487
8,150.5433333333336,50.86666666666694,0.3333333333333333,403.1333333333333,0,85.60000000000014,0,10.0,184,633
