enemy,gain,avg_player_life,avg_enemy_life,avg_duration,min_player_life,max_player_life,min_enemy_life,max_enemy_life,min_duration,max_duration
1,199.41000000000003,99.4,0.0,0.0,88,100,0,0,159,294
2,196.34333333333333,96.33333333333333,0.0,0.0,76,100,0,0,154,283
3,62.67666666666667,0.0,37.333333333333336,0.0,0,0,10.0,80.0,280,378
4,71.87666666666672,5.200000000000047,33.333333333333336,0.0,0,77.80000000000021,0,60.0,341,859
5,153.63666666666697,55.293333333333614,1.6666666666666667,0.0,0,83.20000000000016,0,30.0,246,668
6,195.69000000000003,95.68000000000002,0.0,0.0,76.60000000000022,99.4,0,0,163,238
7,190.04333333333338,90.36666666666673,0.3333333333333333,0.0,0,96.40000000000003,0,10.0,126,288
8,149.9700000000003,49.96000000000029,0.0,0.0,0.40000000000023406,73.60000000000025,0,0,302,786
