enemy,gain,avg_player_life,avg_enemy_life,avg_duration,min_player_life,max_player_life,min_enemy_life,max_enemy_life,min_duration,max_duration
1,26.676666666666677,0.0,73.33333333333333,0.0,0,0,40.0,90.0,173,396
2,198.14333333333335,98.13333333333334,0.0,0.0,86,100,0,0,200,308
3,48.34333333333334,0.0,51.666666666666664,0.0,0,0,20.0,80.0,336,461
4,197.15000000000003,97.14000000000004,0.0,0.0,86.20000000000013,100,0,0,550,837
5,171.55000000000027,71.54000000000026,0.0,0.0,49.000000000000306,86.20000000000013,0,0,275,549
6,199.39000000000001,99.38000000000001,0.0,0.0,91.00000000000009,100,0,0,323,480
7,143.75000000000009,49.40666666666672,5.666666666666667,0.0,0,94.60000000000005,0,20.0,190,407
8,128.5033333333336,31.49333333333358,3.0,0.0,0,74.80000000000024,0,60.0,363,838
