enemy,gain,avg_player_life,avg_enemy_life,avg_duration,min_player_life,max_player_life,min_enemy_life,max_enemy_life,min_duration,max_duration,percentage_games_lost
1,33.07666666666667,0.0,66.93333333333334,395.56666666666666,0,0,52.0,88.0,227,481,100.0
2,138.34333333333333,44.333333333333336,6.0,826.3666666666667,0,95,0,28.0,676,1000,20.0
3,78.91,19.833333333333332,40.93333333333333,945.2333333333333,0,55,12.0,76.0,459,1000,26.666666666666668
4,40.943333333333335,0.0,59.06666666666667,945.7333333333333,0,0,44.0,80.0,391,1291,100.0
5,170.31,70.3,0.0,490.8666666666667,49.0,92.5,0,0,422,618,0.0
6,18.543333333333337,0.0,81.46666666666667,668.5333333333333,0,0,60.0,96.0,242,1254,100.0
7,9.61,0.0,90.4,185.96666666666667,0,0,60.0,100,62,529,100.0
8,13.61,0.0,86.4,253.3,0,0,72.0,96.0,105,389,100.0
