enemy,gain,avg_player_life,avg_enemy_life,avg_duration,min_player_life,max_player_life,min_enemy_life,max_enemy_life,min_duration,max_duration,percentage_games_lost
1,61.34333333333334,0.0,38.666666666666664,590.9,0,0,15.0,55.0,450,651,100.0
2,134.81,36.8,2.0,708.8333333333334,0,80,0,35.0,550,977,13.333333333333334
3,118.04333333333334,49.86666666666667,31.833333333333332,1000.0,8,64,10.0,55.0,1000,1000,0.0
4,130.57666666666657,38.06666666666657,7.5,1450.0666666666666,0,92.79999999999998,0,20.0,1282,1500,13.333333333333334
5,160.64999999999992,60.639999999999915,0.0,437.1,20.799999999999848,84.39999999999996,0,0,347,603,0.0
6,74.19666666666664,2.1866666666666417,28.0,1492.8,0,25.599999999999845,0,90.0,328,2200,83.33333333333333
7,12.176666666666677,0.0,87.83333333333333,89.53333333333333,0,0,70.0,95.0,41,199,100.0
8,31.843333333333334,0.0,68.16666666666667,380.26666666666665,0,0,30.0,85.0,196,604,100.0
