enemy,gain,avg_player_life,avg_enemy_life,avg_duration,min_player_life,max_player_life,min_enemy_life,max_enemy_life,min_duration,max_duration
1,52.010000000000005,0.0,48.0,0.0,0,0,30.0,70.0,452,630
2,199.07666666666665,99.06666666666666,0.0,0.0,92,100,0,0,268,396
3,189.74333333333334,89.73333333333333,0.0,0.0,82,96,0,0,391,557
4,57.67666666666667,0.0,42.333333333333336,0.0,0,0,20.0,60.0,304,833
5,161.2900000000003,61.28000000000031,0.0,0.0,29.80000000000026,77.20000000000022,0,0,249,456
6,192.89000000000007,92.88000000000007,0.0,0.0,67.00000000000031,100,0,0,520,1149
7,75.41666666666669,5.406666666666679,30.0,0.0,0,85.00000000000014,0,60.0,289,805
8,117.45666666666689,20.78000000000022,3.3333333333333335,0.0,0,40.600000000000286,0,50.0,374,924
