enemy,gain,avg_player_life,avg_enemy_life,avg_duration,min_player_life,max_player_life,min_enemy_life,max_enemy_life,min_duration,max_duration
1,200.01,100.0,0.0,0.0,100,100,0,0,159,329
2,190.34333333333333,90.33333333333333,0.0,0.0,84,94,0,0,149,237
3,71.27666666666667,0.6,29.333333333333332,0.0,0,18,0,50.0,340,516
4,68.20333333333338,2.8600000000000483,34.666666666666664,0.0,0,38.80000000000028,0,80.0,363,882
5,169.07000000000028,69.06000000000027,0.0,0.0,58.60000000000033,82.00000000000017,0,0,206,469
6,192.3300000000001,92.32000000000009,0.0,0.0,81.40000000000018,97.00000000000003,0,0,164,240
7,190.03000000000014,90.02000000000012,0.0,0.0,77.80000000000021,92.80000000000007,0,0,123,143
8,130.53000000000026,35.18666666666691,4.666666666666667,0.0,0,71.80000000000027,0,50.0,295,612
