enemy,gain,avg_player_life,avg_enemy_life,avg_duration,min_player_life,max_player_life,min_enemy_life,max_enemy_life,min_duration,max_duration,percentage_games_lost
1,43.61000000000001,0.0,56.4,426.96666666666664,0,0,44.0,76.0,162,450,100.0
2,172.77666666666667,73.16666666666667,0.4,705.4,25,100,0,12.0,599,1000,0.0
3,133.77666666666667,60.166666666666664,26.4,1000.0,20,80,12.0,40.0,1000,1000,0.0
4,55.99333333333333,0.11666666666666667,44.13333333333333,1272.0,0,2.5,32.0,64.0,788,1500,93.33333333333333
5,160.96,60.95,0.0,517.1,19.0,85.0,0,0,405,646,0.0
6,13.876666666666665,0.0,86.13333333333334,463.46666666666664,0,0,76.0,96.0,268,667,100.0
7,5.609999999999999,0.0,94.4,87.4,0,0,84.0,100,51,213,100.0
8,12.27666666666667,0.0,87.73333333333333,290.76666666666665,0,0,76.0,96.0,216,446,100.0
