enemy,gain,avg_player_life,avg_enemy_life,avg_duration,min_player_life,max_player_life,min_enemy_life,max_enemy_life,min_duration,max_duration
1,61.010000000000005,0.0,39.0,0.0,0,0,10.0,70.0,565,869
2,195.87666666666667,95.86666666666666,0.0,0.0,72,100,0,0,278,687
3,39.010000000000005,0.0,61.0,0.0,0,0,40.0,80.0,339,527
4,108.09666666666682,15.753333333333494,7.666666666666667,0.0,0,49.000000000000306,0,50.0,487,1359
5,169.51000000000028,69.50000000000027,0.0,0.0,50.20000000000031,91.00000000000009,0,0,283,592
6,176.8500000000002,76.84000000000017,0.0,0.0,40.000000000000284,98.20000000000002,0,0,796,1869
7,146.13000000000014,54.12000000000014,8.0,0.0,0,94.60000000000005,0,40.0,353,866
8,109.73000000000017,22.053333333333505,12.333333333333334,0.0,0,61.600000000000335,0,60.0,502,993
