Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	94.24333	5.4014926	100.0	74.2	162.53334	31.069887	14.749477	61.83506	-6.6351447	10000	6.208817e-09	31.099081	-0.0076991874	-5.8937383	0.38949144	0.015460747	0.08030803	7.0	33.46881580352783
1	94.32333	5.220356	100.0	74.8	162.33333	32.276653	14.75418	62.86544	-7.0430455	20000	-5.029142e-08	25.822845	-0.0070795515	-2.9062164	0.40506724	0.015910389	0.07460746	6.0	63.48533034324646
2	94.0	5.471354	100.0	76.0	172.64285	31.157747	14.589751	62.076275	-10.291362	30000	-2.4835268e-08	33.39059	-0.009867561	-5.82399	0.39300692	0.01563119	0.089308925	12.0	90.25716400146484
3	94.36333	4.508731	100.0	83.2	164.0	31.54242	14.064427	62.649246	-6.8993683	40000	-1.0244548e-08	29.703104	-0.006966055	-6.6459236	0.3982028	0.016026096	0.09190919	10.0	119.9667739868164
4	94.86557	3.9251559	100.0	86.2	161.2459	32.267944	14.217255	62.738968	-9.272194	50000	1.6142925e-08	24.946573	-0.0067946264	-3.7745914	0.40240148	0.015045513	0.06990699	11.0	149.46373796463013
5	94.694916	4.0220337	100.0	86.0	164.94916	32.395233	14.549136	62.64136	-11.165011	60000	-6.208817e-09	27.96456	-0.008013965	-3.0952911	0.40607643	0.015069007	0.09450945	12.0	180.0808069705963
6	94.69837	5.0124598	100.0	73.6	162.98361	32.066124	14.293116	63.268753	-6.329905	70000	7.450581e-09	28.239319	-0.0071848575	-3.7630131	0.42125535	0.015088897	0.10491049	11.0	210.86311793327332
7	94.473335	5.587721	100.0	64.6	163.71666	32.32775	14.721942	63.823673	-7.5111513	80000	5.2154064e-08	31.067652	-0.0094601	-4.530155	0.4218974	0.015892686	0.0930093	10.0	240.23353934288025
8	94.13333	4.676134	100.0	80.2	161.36667	32.145214	14.701153	63.651802	-2.5694647	90000	-2.0489097e-08	26.59913	-0.0091531575	-2.4470398	0.4106789	0.015666382	0.09210921	17.0	272.2960841655731
9	93.706894	4.7657127	100.0	80.8	166.39655	31.535477	14.622056	63.560886	-5.2207384	100000	8.692344e-09	29.648012	-0.011762886	-4.1240335	0.41729602	0.0152171105	0.09770977	24.0	302.39822697639465
10	92.74036	14.484158	100.0	-10.0	168.1579	30.059486	15.018002	63.47479	-57.68891	110000	-5.7121117e-08	49.176666	-0.0068632104	-16.706602	0.407626	0.016043173	0.07560756	8.0	332.7002730369568
11	92.91071	6.71926	100.0	68.0	176.5	30.401543	14.662405	60.283894	-25.38602	120000	-8.692344e-09	38.755383	-0.01391505	-9.375202	0.41118288	0.015187907	0.09920993	32.0	362.1490578651428
12	93.613556	5.3443923	100.0	78.0	166.0678	30.673632	14.574347	62.391632	-10.445736	130000	-1.6142925e-08	30.180649	-0.007245008	-4.6313624	0.4016297	0.015227561	0.09020903	12.0	391.0381455421448
13	93.87144	5.053065	100.0	81.4	173.53572	30.23257	15.307962	62.38131	-9.696363	140000	-5.5879354e-09	34.11176	-0.00854841	-5.863589	0.40375248	0.015050071	0.086408645	12.0	419.6368317604065
14	94.16141	4.8427105	100.0	78.0	169.52632	30.683178	14.6611185	63.296436	-3.661069	150000	-6.208817e-09	30.279303	-0.0074886926	-3.4065342	0.39807025	0.01579464	0.089108914	12.0	450.6561005115509
15	94.49333	5.3333497	100.0	71.8	163.03334	31.544092	14.699672	63.118324	-6.3696556	160000	-4.0978193e-08	25.594526	-0.0080112	-3.4553878	0.39725265	0.015244119	0.09440944	13.0	481.02569699287415
16	93.86316	4.8888216	100.0	78.0	171.08772	31.271286	14.570432	61.63782	-3.1266727	170000	-2.0178657e-09	28.719864	-0.012529318	-4.2022853	0.38712916	0.015266542	0.09140914	38.0	511.0608823299408
17	93.78305	5.6641946	100.0	73.6	166.35593	31.12345	14.764714	63.44408	-7.8568525	180000	-3.228585e-08	25.446352	-0.009827084	-3.31483	0.40222052	0.015340481	0.09360936	17.0	537.6995904445648
18	94.22373	4.480781	100.0	84.0	166.59322	31.108715	14.972651	63.59768	-2.4132307	190000	2.0178655e-08	29.10499	-0.008139559	-4.4406586	0.40043926	0.015257854	0.06830683	11.0	570.0881624221802
19	93.829994	4.572064	100.0	82.6	161.96666	31.774311	14.431503	61.88041	-10.521382	200000	-5.9604645e-08	28.78485	-0.0061314367	-4.586965	0.39287734	0.015235659	0.07280728	8.0	599.689555644989
20	93.22857	5.8145666	100.0	76.0	172.32143	30.785334	14.666101	62.493156	-17.318415	210000	2.8560558e-08	30.040571	-0.007075298	-5.4514656	0.38851035	0.016064478	0.06450645	9.0	629.3651177883148
21	93.929825	5.7762356	100.0	68.0	170.66667	30.671507	14.317301	60.019684	-4.326557	220000	2.0178655e-08	32.11536	-0.008193493	-4.819431	0.38363254	0.015657306	0.098009795	10.0	658.8044559955597
22	93.901695	4.865426	100.0	80.8	165.57628	31.322533	14.545527	63.097965	0.2955705	230000	-4.9049657e-08	28.233397	-0.006932669	-3.7148628	0.37598035	0.016335877	0.094109416	8.0	689.6603963375092
23	93.29153	5.9865746	100.0	74.8	165.47458	31.332373	14.894519	63.042393	-6.5179377	240000	-1.8626451e-08	32.879528	-0.0058934237	-5.6148586	0.37704185	0.01679025	0.06800679	6.0	719.1908438205719
24	93.793106	5.096579	100.0	75.4	169.56897	30.784662	14.453043	60.69849	-8.001016	250000	1.0554989e-08	30.761457	-0.0059493855	-4.206514	0.37409735	0.01505354	0.07680768	6.0	747.2065358161926
25	94.439995	4.5590644	100.0	82.0	162.5	31.87265	14.2474575	63.84805	-8.224115	260000	3.4769375e-08	28.35713	-0.009440894	-4.5543175	0.3710686	0.015508686	0.07220722	13.0	780.0455784797668
26	94.04667	4.8808966	100.0	74.8	163.8	31.82875	14.741203	63.101048	-0.09557974	270000	6.829699e-09	25.287354	-0.010104372	-3.6384106	0.3732338	0.015363358	0.090909086	15.0	810.2179317474365
27	93.07143	6.1303024	100.0	74.2	171.71428	31.020063	14.606398	63.44819	-12.037937	280000	3.1044085e-08	34.513367	-0.009340192	-5.4261794	0.37911224	0.015647752	0.08340833	14.0	839.0828630924225
28	94.027115	4.897382	100.0	82.0	167.91525	31.19167	14.003018	62.773266	-4.9569116	290000	4.1521464e-08	26.603096	-0.008595611	-4.730807	0.36852852	0.01574793	0.08180819	13.0	869.3519024848938
29	93.89491	4.977966	100.0	74.0	166.98305	31.357971	14.790007	63.023083	-7.389589	300000	-1.7384687e-08	32.04507	-0.0060691107	-7.3907323	0.3762811	0.01519351	0.06790679	9.0	900.6660284996033
30	94.48813	4.3059707	100.0	82.0	166.27118	31.356373	14.954449	63.009525	-14.188905	310000	-4.346172e-08	29.267237	-0.006329585	-5.3709702	0.38108516	0.015658354	0.064006396	6.0	929.4105186462402
