Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	12.333333	52.215366	92.0	-75.0	630.8889	0.89997494	8.351986	19.692476	-60.73708	10000	5.5879354e-09	113.73169	-0.008013512	-25.172728	0.5613432	0.015052418	0.09370937	9.0	23.47882652282715
1	18.222221	43.812172	84.0	-40.0	660.7778	0.73054165	8.606839	21.892303	-57.97272	20000	-7.916242e-09	78.40402	-0.007121681	-22.729576	0.5665528	0.016201809	0.08450845	10.0	44.76304244995117
2	7.888889	48.509895	96.0	-50.0	683.8889	0.4455793	8.820823	25.508831	-61.808987	30000	-2.483527e-09	74.727715	-0.0074936673	-13.718693	0.5574386	0.015867742	0.093309335	11.0	68.16794037818909
3	13.2	50.740124	92.0	-75.0	720.6	0.27646178	8.52947	28.79617	-61.075863	40000	1.2417635e-09	87.45983	-0.010140518	-27.524038	0.5451569	0.01543099	0.09630963	24.0	91.89501976966858
4	10.836364	49.888737	88.0	-65.0	644.36365	0.26777637	8.094419	25.275486	-53.802113	50000	5.5879354e-09	85.32999	-0.006850229	-22.466864	0.55305576	0.016299907	0.07690769	9.0	115.29955339431763
5	7.1400003	45.683876	72.0	-55.0	706.1	-0.022514882	9.151683	25.884977	-63.252956	60000	2.848295e-08	76.81574	-0.0072331275	-20.096409	0.5650502	0.01537992	0.0940094	11.0	140.04422330856323
6	11.14	49.09273	80.0	-60.0	699.7	0.09578772	9.259883	28.287283	-56.75235	70000	-1.7074248e-09	86.32436	-0.004934257	-22.132841	0.55654985	0.016228406	0.08170817	8.0	161.96243619918823
7	9.454545	49.533024	76.0	-55.0	667.0909	1.2749484	7.8411007	29.74534	-50.680294	80000	-1.4901161e-08	86.68508	-0.008833452	-19.671415	0.5837603	0.01510067	0.0860086	10.0	185.34212350845337
8	-1.3	46.902134	76.0	-55.0	715.3	0.20670986	8.037994	28.924574	-46.698704	90000	-2.2351742e-08	94.23696	-0.008176438	-19.331656	0.5760128	0.01597757	0.094209425	9.0	209.8712854385376
9	9.888889	50.86681	88.0	-60.0	662.0	-0.94004905	8.258211	19.990948	-56.49511	100000	1.2417635e-09	80.82006	-0.0061250017	-22.562967	0.5642076	0.015854003	0.08260826	9.0	232.2657663822174
10	-2.9	49.79448	88.0	-60.0	702.5	0.8275794	8.494337	28.697086	-63.35494	110000	6.829699e-09	84.23507	-0.010735609	-18.088657	0.55330724	0.015200469	0.100410044	18.0	253.8711359500885
11	16.060001	54.463863	88.0	-55.0	731.0	-0.2748233	8.77361	31.829636	-58.173916	120000	-1.7384687e-08	71.46906	-0.0071247094	-17.310396	0.564495	0.016850146	0.08460846	10.0	278.5784401893616
12	8.54	44.97404	72.0	-60.0	723.2	1.3883607	8.371929	30.707626	-56.81133	130000	-3.7252903e-09	97.35024	-0.007265866	-20.609259	0.573131	0.015191023	0.08250825	14.0	300.77203249931335
13	11.8	47.431637	84.0	-55.0	736.0	0.30204627	8.551747	30.180393	-64.28271	140000	-2.483527e-09	67.13064	-0.005624097	-13.390065	0.56798184	0.016687002	0.06780678	7.0	324.02349400520325
14	9.0199995	54.885735	92.0	-60.0	695.4	0.96846074	9.129028	34.929768	-54.458218	150000	-2.483527e-09	72.62423	-0.0069530546	-14.554741	0.59021515	0.015971791	0.098809876	10.0	346.68361616134644
15	9.84	49.337517	100.0	-55.0	699.0	0.5561258	9.080421	34.198864	-53.56632	160000	-2.483527e-09	72.39462	-0.007952329	-14.490288	0.5911761	0.015416145	0.09520952	10.0	368.3858346939087
16	-13.927273	54.88151	80.0	-85.0	732.36365	1.4275231	9.656621	30.376266	-57.695927	170000	-5.5879354e-09	119.787056	-0.008092417	-37.798317	0.618808	0.01572849	0.10111011	11.0	391.9745216369629
17	8.88	44.031918	80.0	-40.0	733.6	-1.767811	8.949882	20.111366	-53.786793	180000	-1.800557e-08	104.5116	-0.008069857	-42.23698	0.6213972	0.015182623	0.07830783	10.0	417.0691201686859
18	2.4166665	45.0395	68.0	-60.0	702.8333	0.17740393	10.014946	36.56723	-68.24856	190000	-2.6387474e-08	79.969765	-0.008913234	-28.251083	0.6166546	0.016097756	0.09140914	10.0	441.57573771476746
19	-0.6	49.459476	92.0	-55.0	701.1	-0.44164866	8.476036	32.329903	-54.70436	200000	-7.450581e-09	86.14524	-0.010056824	-20.670486	0.6197295	0.015916914	0.09710971	11.0	465.07833552360535
20	5.5	52.94195	84.0	-65.0	707.0	0.18193658	7.904603	25.564356	-50.848167	210000	-2.483527e-09	79.50594	-0.0076808096	-22.469252	0.6142907	0.01596473	0.09950995	10.0	489.1337513923645
21	16.072727	50.72294	92.0	-65.0	641.8182	0.27819535	9.681033	26.689297	-59.057167	220000	-4.967054e-09	83.25854	-0.008800035	-26.914423	0.62934875	0.0151865855	0.08160816	12.0	514.9313232898712
22	0.45454547	39.996284	60.0	-55.0	750.36365	1.1838194	8.551529	24.77112	-49.849987	230000	8.071463e-09	84.29305	-0.0068690684	-27.051764	0.6046457	0.015312697	0.082908295	11.0	537.4153158664703
23	15.6	50.583	88.0	-45.0	718.4	-0.048422202	8.980686	34.61667	-52.58153	240000	3.4512293e-09	66.79687	-0.007320158	-13.185828	0.6065583	0.015667848	0.08830883	11.0	560.743175983429
24	17.555555	51.77754	92.0	-50.0	667.6667	0.26520234	8.666811	22.279682	-52.339615	250000	6.829699e-09	70.38812	-0.005008159	-11.330073	0.6103352	0.016015152	0.07650765	9.0	582.619448184967
25	19.222221	45.582108	80.0	-50.0	656.3333	0.25140467	9.308477	21.920506	-54.921917	260000	1.1175871e-08	68.02658	-0.0069008856	-17.094034	0.60946536	0.015601546	0.080008	8.0	607.6170608997345
26	3.6181817	52.76986	92.0	-55.0	635.8182	1.5206267	8.009426	30.3431	-52.431664	270000	-2.483527e-09	116.883705	-0.007680914	-35.882732	0.62124145	0.016612941	0.087408744	7.0	630.535448551178
27	15.581818	53.842903	84.0	-70.0	669.0	-0.9395783	9.5263195	32.532707	-56.55686	280000	1.1175871e-08	82.74334	-0.008015704	-17.748041	0.6049587	0.015535879	0.09600959	12.0	654.6771974563599
