Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-39.413334	55.394558	74.8	-75.0	457.53333	-8.275901	11.349371	19.300337	-75.18219	10000	3.1044085e-09	111.99469	-0.022909367	-31.259699	1.2373548	0.015039884	0.14601462	19.0	23.90445113182068
1	-38.411766	57.40975	92.8	-80.0	512.05884	-8.64518	12.088881	18.85931	-71.10206	20000	7.4117756e-09	98.07456	-0.018885443	-38.17838	1.239632	0.015118803	0.12831283	16.0	46.408618688583374
2	-55.142857	49.629837	74.8	-90.0	436.85715	-8.955203	12.733797	22.11053	-62.56793	30000	-3.1044085e-09	173.61536	-0.033296738	-79.47691	1.2912115	0.013187602	0.20652066	79.0	69.52036190032959
3	-49.189472	52.128284	84.4	-90.0	453.8421	-11.766683	12.152304	21.191004	-70.07357	40000	4.967054e-09	151.51813	-0.02173642	-45.608093	1.2643032	0.015189904	0.12811281	18.0	91.0731942653656
4	-44.65333	52.32944	65.2	-85.0	487.93332	-9.139028	11.6967745	20.045687	-71.16129	50000	1.7229468e-08	102.31616	-0.013881703	-45.32658	1.2138438	0.016020117	0.13151313	11.0	114.04938864707947
5	-42.7875	53.74753	84.4	-80.0	479.5	-7.3392696	10.143167	18.559525	-58.43652	60000	4.346172e-09	110.365395	-0.02611444	-31.541649	1.2093529	0.015016417	0.15521552	33.0	140.15831661224365
6	-43.373333	51.013042	80.8	-85.0	468.73334	-6.9230547	11.475213	21.83191	-59.834946	70000	-7.489386e-09	100.71511	-0.019137437	-27.83887	1.2274116	0.015241083	0.12181219	15.0	164.25142121315002
7	-37.666668	60.079712	90.4	-85.0	452.26666	-7.419526	11.067982	19.259943	-58.501945	80000	2.483527e-09	88.47589	-0.033541054	-26.318415	1.1943083	0.015186383	0.18771876	62.0	188.36326456069946
8	-42.079998	57.08024	79.6	-95.0	480.26666	-6.0718718	11.352441	22.541636	-60.170074	90000	2.7318796e-08	75.546684	-0.017797874	-20.635996	1.204058	0.0152846435	0.14231424	16.0	211.9424204826355
9	-42.6625	51.282635	70.0	-90.0	503.25	-6.430167	10.990561	20.697876	-57.13735	100000	0.0	93.184875	-0.02137191	-32.69011	1.2322363	0.0152051	0.13981399	18.0	236.9019865989685
10	-39.733334	55.469326	84.4	-85.0	490.46667	-5.906347	11.571761	17.989029	-62.954338	110000	-5.5879354e-09	92.197845	-0.018237123	-31.97843	1.2451986	0.015152022	0.14501451	18.0	264.2889747619629
11	-46.13333	49.81771	71.2	-90.0	508.72223	-7.4650073	11.892686	19.923004	-59.582893	120000	-2.483527e-09	135.20558	-0.018839076	-46.43381	1.2405796	0.015907666	0.15651566	17.0	286.6312634944916
12	-41.386665	59.782875	89.2	-85.0	464.93332	-6.4964323	10.460105	19.361193	-57.180977	130000	8.692344e-09	110.679665	-0.029423267	-43.608	1.2130302	0.015013003	0.1760176	47.0	313.5257475376129
13	-46.35294	52.478413	83.2	-90.0	465.35294	-7.642871	13.478841	22.690468	-58.012314	140000	-4.967054e-09	120.07168	-0.017266972	-36.820038	1.2555629	0.0154252425	0.13681369	14.0	337.9236114025116
14	-36.0	53.662254	74.8	-75.0	489.46667	-7.0368485	10.229559	19.42473	-52.861473	150000	4.656613e-09	91.9761	-0.02290372	-33.331436	1.2353692	0.015085514	0.15411541	27.0	365.0180983543396
