Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	8.272727	63.224117	100.0	-72.0	750.4545	0.12259938	8.621249	30.212479	-48.172268	10000	-7.450581e-09	73.451195	-0.0064969957	-24.54692	0.34891534	0.01581216	0.06210621	5.0	24.983510971069336
1	2.5454545	57.206745	100.0	-72.0	755.7273	0.28122815	11.025149	33.264893	-67.902176	20000	-3.7252903e-09	56.197926	-0.0059736134	-16.59344	0.33753183	0.015881253	0.06270627	8.0	46.157551288604736
2	-0.75	61.75101	95.0	-68.0	788.0	0.23920827	9.719951	31.070192	-74.568436	30000	1.6763806e-08	62.898163	-0.007704384	-15.093793	0.3553259	0.015092577	0.07240724	14.0	69.8386242389679
3	10.625	59.672413	95.0	-64.0	720.6667	-0.7104702	11.121805	30.113216	-65.98389	40000	-7.450581e-09	60.85457	-0.008532681	-18.451897	0.3549986	0.016093422	0.06440644	11.0	92.93086838722229
4	6.3	64.68083	95.0	-72.0	716.9	-0.19985983	10.303149	34.889534	-74.7168	50000	1.9868216e-08	70.626335	-0.007808795	-17.256685	0.34259918	0.0150434375	0.07140714	14.0	115.0692789554596
5	-18.09091	53.328236	85.0	-76.0	745.9091	-0.19462949	8.717852	22.05838	-66.12665	60000	2.7939677e-09	103.84168	-0.0067157573	-34.056686	0.33121407	0.015040451	0.055805583	10.0	136.6892957687378
6	-12.307693	65.29152	100.0	-92.0	658.0	-3.414577	12.835213	26.900751	-82.88565	70000	1.4901161e-08	101.22345	-0.010372148	-31.327684	0.32713795	0.015478946	0.06930693	13.0	160.82590222358704
7	13.227273	61.872803	85.0	-64.0	659.36365	-2.2560823	10.805988	33.05474	-75.0526	80000	-2.483527e-09	88.26776	-0.008341476	-15.032895	0.33109713	0.015249942	0.06780678	17.0	182.50042271614075
8	5.181818	60.797455	90.0	-76.0	765.5455	0.62489426	9.179828	22.506262	-69.42118	90000	8.692344e-09	84.99603	-0.00637065	-19.071453	0.34406304	0.015395458	0.05770577	11.0	206.8014132976532
9	-4.1538463	54.006905	70.0	-64.0	717.38464	-0.42350212	11.602346	34.270077	-70.19962	100000	4.967054e-09	79.23878	-0.008164707	-26.991732	0.3691609	0.016479172	0.063906394	8.0	228.56660318374634
