Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	43.64375	38.207363	88.3	-33.333332	565.3125	5.228782	9.066853	30.666576	-36.310345	10000	-1.3659398e-08	69.0418	-0.009698123	-21.712866	0.5543353	0.015370955	0.0839084	5.0	25.29823350906372
1	46.893333	43.339745	93.7	-33.333332	581.26666	5.5142646	8.487191	32.927467	-40.44752	20000	1.4280279e-08	69.64858	-0.009146751	-18.719847	0.53920627	0.015509628	0.082208216	8.0	46.09319305419922
2	44.97333	41.032627	91.9	-60.0	594.93335	7.0972643	7.766925	31.602125	-28.443415	30000	-2.483527e-09	79.6258	-0.008766794	-21.140583	0.5723567	0.016454019	0.08430844	8.0	71.4402244091034
3	40.27778	38.361794	93.7	-20.0	611.26666	5.225131	9.532047	30.935102	-31.883553	40000	-1.2417634e-08	68.64753	-0.011716236	-19.64086	0.5705347	0.015088682	0.0880088	12.0	92.25755572319031
4	42.49778	46.79098	91.9	-46.666668	593.4	5.851009	8.173404	30.48881	-37.90348	50000	-1.3659398e-08	83.88743	-0.014000335	-17.632677	0.55818325	0.015089472	0.102410235	17.0	116.83944129943848
5	46.613335	35.129227	93.7	-20.0	584.93335	5.4449654	8.767351	32.24459	-40.559307	60000	2.483527e-09	77.55098	-0.010729981	-23.959524	0.5388089	0.016349683	0.087608755	12.0	139.24218583106995
6	42.682228	44.477215	96.4	-53.333332	592.8	6.2477016	8.472799	29.994106	-33.669	70000	-3.7252903e-09	84.46148	-0.011559513	-23.183054	0.5380067	0.015866408	0.08180819	11.0	163.13635230064392
7	39.104443	43.472836	95.5	-53.333332	574.93335	6.034912	8.1086445	30.931032	-32.07221	80000	7.450581e-09	81.65273	-0.013766095	-24.78448	0.5451145	0.015153085	0.099709965	17.0	184.8739995956421
8	46.666668	41.608345	96.4	-33.333332	588.2	4.354961	8.892048	31.90201	-38.2751	90000	1.1175871e-08	67.80905	-0.009151542	-20.224606	0.5519571	0.015134898	0.06520652	8.0	209.32705330848694
9	42.872917	43.050236	91.0	-53.333332	563.3125	5.4586363	9.735866	34.45491	-43.460106	100000	2.6387472e-09	84.53886	-0.009462955	-19.267645	0.55645245	0.015349216	0.0770077	9.0	230.21011877059937
10	29.784447	45.672504	91.9	-53.333332	598.93335	5.037914	8.381914	29.293684	-50.97484	110000	1.8626451e-09	112.92013	-0.017146407	-36.321056	0.53811735	0.015135456	0.12141215	23.0	255.74547052383423
11	54.253334	32.15844	98.2	-13.333333	590.4667	3.7128272	9.936458	31.54896	-59.028084	120000	-1.2417635e-09	113.38113	-0.012267537	-56.933575	0.5330687	0.015762987	0.08070808	11.0	278.55429673194885
12	43.551113	41.484142	92.8	-40.0	599.8	6.3606095	8.542916	33.64605	-44.63153	130000	2.7318796e-08	89.50077	-0.01936599	-32.08271	0.53092223	0.015100314	0.11421142	44.0	303.3272340297699
13	46.59556	39.911736	94.0	-33.333332	566.93335	5.795759	10.521658	33.050102	-58.210182	140000	0.0	70.45799	-0.013764285	-17.71606	0.5393519	0.015164305	0.09660966	14.0	325.3541011810303
14	50.780006	40.16764	89.2	-26.666666	594.13336	6.6049714	9.040836	36.212154	-48.433014	150000	3.7252903e-09	88.34246	-0.0089171175	-22.501236	0.5366345	0.016356708	0.07890789	9.0	349.08695340156555
15	58.655556	31.29742	93.7	-26.666666	609.73334	6.4729776	8.677542	31.836218	-57.392628	160000	3.1044085e-09	70.67515	-0.010210712	-24.128462	0.5274059	0.01519411	0.08710871	9.0	374.3821666240692
16	56.244442	32.683445	91.9	-20.0	599.0	7.035549	8.013727	33.31373	-62.005714	170000	-2.9802322e-08	60.086304	-0.019593157	-14.705552	0.51097476	0.015167475	0.11221123	46.0	400.26055908203125
17	42.65111	42.24043	89.2	-33.333332	618.5333	7.112933	8.363654	31.336279	-53.89947	180000	8.2266824e-09	82.22012	-0.0119683	-29.280573	0.5234919	0.015308795	0.10681068	13.0	426.175674200058
18	47.995556	40.22779	91.9	-33.333332	571.93335	6.1100836	8.466354	28.156559	-46.491985	190000	-8.071463e-09	93.75638	-0.010257416	-33.29022	0.5267499	0.016098034	0.07220722	10.0	448.6003932952881
19	42.631252	39.84271	92.8	-53.333332	572.0625	6.90088	9.006585	31.275436	-40.25602	200000	1.2417634e-08	88.84145	-0.009192611	-24.921045	0.5292752	0.015559333	0.10081008	7.0	473.48442935943604
20	50.291664	44.458336	100.0	-46.666668	561.5625	5.5347767	9.200575	34.512527	-46.5411	210000	-3.1044087e-10	106.50451	-0.0089839725	-24.668823	0.53829	0.016513756	0.081308134	8.0	496.4203624725342
21	48.219997	38.592426	92.8	-26.666666	590.5333	6.625159	9.770723	35.759033	-43.476456	220000	-2.483527e-09	57.47289	-0.011918162	-17.190413	0.5325078	0.015824659	0.104610465	12.0	522.5697331428528
22	51.45556	37.944912	96.4	-33.333332	591.4	6.525811	9.103499	33.790127	-43.070736	230000	9.313226e-09	69.413704	-0.012178683	-15.80067	0.53321165	0.015904909	0.104210414	12.0	544.2842099666595
23	48.862225	35.016068	91.0	-13.333333	610.86664	6.250213	9.500144	34.069782	-49.988754	240000	6.829699e-09	91.95209	-0.008321173	-23.891966	0.53382677	0.016624266	0.08640864	10.0	569.7544896602631
24	58.11333	31.144117	97.3	-13.333333	573.13336	6.0346107	9.871194	33.099167	-64.295944	250000	-1.7384687e-08	77.39001	-0.01130288	-25.783134	0.5234788	0.015024647	0.080208026	12.0	591.9501550197601
25	60.300003	25.7969	90.1	7.0	622.26666	7.030139	8.550767	34.40793	-35.622948	260000	-7.450581e-09	80.16227	-0.013456245	-34.491833	0.5290025	0.015204337	0.097809784	15.0	617.9808301925659
26	41.891113	39.366074	90.1	-46.666668	618.4	6.889803	7.8507657	32.11035	-44.502094	270000	1.8626451e-08	119.25718	-0.010092632	-45.364502	0.5392113	0.016087081	0.09080908	10.0	642.1689546108246
27	50.31111	36.111347	92.8	-40.0	628.6	4.54327	7.988805	32.72845	-32.814262	280000	-2.1109978e-08	80.650024	-0.009505329	-31.390188	0.5334528	0.015704282	0.0790079	10.0	668.4899325370789
28	39.305878	50.81545	91.9	-86.666664	529.2941	6.1246357	8.741345	32.42884	-38.78008	290000	0.0	123.1206	-0.013188752	-53.3127	0.5251388	0.016009932	0.09130913	11.0	691.9916853904724
29	50.58889	33.707783	88.3	-20.0	604.3333	5.6173315	8.463536	30.969273	-45.935932	300000	-2.1109978e-08	81.07305	-0.008326587	-19.354338	0.52954894	0.015273859	0.08230823	8.0	718.0600953102112
30	43.61112	41.687073	91.9	-33.333332	591.5333	5.2589116	9.890714	35.121098	-52.061333	310000	6.208817e-09	91.51904	-0.008777107	-23.807009	0.52587295	0.015394747	0.084708475	11.0	741.0339205265045
31	48.231106	34.93367	94.0	-26.666666	587.8	6.0388894	8.637907	34.68368	-50.41401	320000	-8.692344e-09	79.91436	-0.0093054185	-19.277678	0.51619583	0.015050326	0.0830083	9.0	766.3017568588257
32	55.620003	36.59201	91.0	-13.333333	617.2	6.4047637	8.089526	32.037064	-49.509872	330000	-1.9557774e-08	87.075096	-0.009849448	-18.293106	0.5214674	0.015258121	0.09370937	10.0	790.8167097568512
33	54.804443	32.206676	94.6	-13.333333	639.5333	6.4463267	8.1150055	33.31494	-48.443657	340000	-1.4901161e-08	85.34289	-0.015883124	-27.709494	0.5195131	0.015084003	0.1029103	31.0	818.1415178775787
34	55.78889	34.558357	94.6	-13.333333	614.86664	6.3685856	7.004975	31.155071	-35.7986	350000	2.8560558e-08	85.42686	-0.014441506	-25.43154	0.5150276	0.015080382	0.102410235	19.0	842.1656198501587
35	45.555557	32.838577	79.0	-26.666666	605.2	6.741365	8.843366	32.344193	-40.555496	360000	7.450581e-09	81.347534	-0.012145632	-26.68038	0.5166107	0.0151778525	0.10771077	11.0	866.8542337417603
36	44.773808	40.668613	94.6	-40.0	629.8571	5.399344	9.9081	29.839045	-60.591705	370000	-3.7252903e-09	73.83326	-0.010130457	-18.391312	0.52410334	0.015564888	0.08540854	11.0	889.5733916759491
37	49.784443	32.679356	89.2	-20.0	586.6667	6.129507	8.836175	32.52148	-47.153595	380000	2.483527e-09	87.50321	-0.009294839	-24.283777	0.5264637	0.016015679	0.08230823	8.0	912.8940465450287
38	43.00222	43.150143	95.5	-26.666666	603.2	5.5378895	9.039026	32.62564	-46.460472	390000	7.450581e-09	95.927376	-0.023928022	-32.92731	0.5230272	0.014205878	0.14261426	79.0	939.6508586406708
39	38.49804	50.852787	92.8	-86.666664	544.64703	5.9413295	8.930522	33.74133	-62.98135	400000	-8.071463e-09	86.52356	-0.012185614	-20.335936	0.53362435	0.016142381	0.09090909	10.0	963.6396508216858
40	44.59556	38.741405	93.7	-46.666668	570.26666	6.47708	9.072503	31.331415	-49.749886	410000	9.934108e-09	82.752594	-0.008460437	-15.7385645	0.52478904	0.016102701	0.07910791	8.0	985.8169958591461
41	45.59111	40.763733	95.5	-33.333332	598.2	6.287203	8.421345	30.842085	-47.63343	420000	-3.4769375e-08	73.9263	-0.007886825	-26.846888	0.52101475	0.015437928	0.08490849	9.0	1011.6964349746704
