Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-95.2	2.4507456	-88.0	-100.0	150.23077	0.22687781	0.14606905	0.579867	-0.5086549	10000	-9.002785e-08	2152.1174	-0.018808223	-684.9092	3.438071	0.015264955	0.14071406	30.0	31.638843774795532
1	-94.64616	2.651158	-88.0	-100.0	151.0	-8.8508	0.7733243	8.776247	-9.026653	20000	2.173086e-09	1405.6364	-0.018333687	-326.85928	3.427121	0.015146039	0.13751376	38.0	65.63138914108276
2	-94.625	2.5708704	-88.0	-100.0	150.4375	-14.262757	1.2195686	14.197911	-14.38053	30000	-4.4237822e-08	1100.1204	-0.019532653	-238.79881	3.4051437	0.015103015	0.11741173	33.0	96.86441230773926
3	-94.0	2.759149	-88.0	-100.0	156.53226	-18.952375	1.1292382	18.319345	-19.053547	40000	-1.3659398e-08	783.3615	-0.01954181	-164.54698	3.399707	0.015270497	0.13821381	34.0	126.93186736106873
4	-94.451614	3.0778992	-88.0	-100.0	156.79033	-22.944252	1.0823938	19.782877	-23.063433	50000	-2.871578e-08	632.5634	-0.023505969	-116.06744	3.3954747	0.015077814	0.13071306	60.0	161.98305678367615
5	-94.3125	2.4294739	-88.0	-100.0	152.39062	-26.498186	0.4743347	-4.532951	-26.543036	60000	-9.313226e-09	548.12115	-0.023341676	-85.8392	3.380992	0.015098146	0.18301831	40.0	191.85568618774414
6	-94.29508	2.5565362	-88.0	-100.0	159.83606	-29.56759	1.6060097	28.956312	-29.6689	70000	0.0	411.1984	-0.022417942	-53.656727	3.3758285	0.015166361	0.13651365	44.0	225.1695921421051
7	-93.034485	3.1126301	-88.0	-100.0	169.01724	-32.065502	1.1990217	18.779997	-32.178654	80000	1.4901161e-08	287.69138	-0.022208879	-22.177591	3.3653514	0.015113992	0.16611661	42.0	256.201051235199
8	-92.70175	2.91376	-84.0	-96.0	171.92982	-33.53311	2.3130193	24.195312	-33.83785	90000	-7.1401396e-09	280.38464	-0.029834941	-12.660965	3.3559377	0.015000097	0.18591858	71.0	290.3062753677368
9	-92.98245	2.6257243	-88.0	-96.0	170.85965	-34.837048	1.6770322	31.592474	-35.07473	100000	9.934108e-09	264.07138	-0.025812509	-7.3609467	3.3355587	0.01500009	0.1630163	49.0	325.74977922439575
10	-93.052635	2.9523768	-88.0	-100.0	171.5965	-35.41374	3.9798563	35.330307	-36.0717	110000	-7.450581e-09	266.65643	-0.024557352	-11.381165	3.3192482	0.015102938	0.17481749	45.0	357.97349524497986
11	-93.55932	2.5529723	-88.0	-100.0	164.08475	-36.51008	2.903325	26.128662	-37.03131	120000	-4.967054e-09	282.20447	-0.01988505	-12.266582	3.3032186	0.015093313	0.11641165	30.0	388.4876379966736
12	-92.8	2.6859908	-88.0	-100.0	177.98181	-37.075634	2.7155728	-4.4554324	-38.05264	130000	-9.313226e-09	219.73584	-0.023621624	-17.34408	3.295223	0.015064974	0.13041304	37.0	422.33912324905396
13	-92.679245	3.1787837	-88.0	-100.0	178.98112	-36.454483	4.6222253	26.269964	-38.6358	140000	1.1796753e-08	237.44476	-0.023424387	-17.273285	3.2686288	0.015065435	0.1619162	49.0	455.23425245285034
14	-92.30189	3.3735092	-84.0	-100.0	183.69812	-37.179996	4.270479	24.89736	-39.295883	150000	-4.0357313e-09	204.51619	-0.028988851	-17.21673	3.268391	0.015009705	0.1741174	71.0	488.2323091030121
15	-92.38461	3.3521166	-84.0	-100.0	186.28847	-35.472775	6.1284432	32.834644	-39.617077	160000	7.1401396e-09	225.9156	-0.026846675	-39.182407	3.2461894	0.015073463	0.15921593	47.0	520.8968148231506
