Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	54.68	41.050232	100.0	-40.0	707.3	7.4136267	4.751517	24.001429	-28.943836	10000	1.2417635e-09	103.935585	-0.012600981	-16.093079	0.37651107	0.015315372	0.090809084	15.0	25.565569639205933
1	66.72	29.646343	100.0	20.0	765.1	6.1571164	3.9153836	23.138481	-35.23666	20000	-2.483527e-09	61.536213	-0.0073808655	-6.905924	0.3900397	0.016309796	0.07880788	6.0	51.34670639038086
2	76.68	17.444817	100.0	48.0	731.1	6.6021852	4.2841926	22.96185	-21.831024	30000	-2.483527e-09	37.57497	-0.0076833204	-9.236455	0.40058056	0.015080343	0.06830683	9.0	74.36781430244446
3	64.14	18.872637	96.0	24.0	744.2	7.237827	4.527572	24.501577	-33.90952	40000	3.973643e-08	38.644665	-0.010601547	-8.744322	0.40000233	0.015170462	0.07720772	18.0	99.52298355102539
4	40.84	49.002758	80.0	-65.0	730.3	6.618384	4.2126646	23.626825	-27.6368	50000	-1.3659398e-08	118.454384	-0.009216426	-27.986847	0.40303728	0.01572374	0.08180818	12.0	123.14903473854065
5	60.3	36.747925	100.0	-25.0	752.5	3.8047507	5.663045	24.77921	-43.70461	60000	1.7384687e-08	68.85316	-0.005938731	-24.390844	0.39474037	0.016655596	0.04610461	6.0	145.52528190612793
6	37.02	49.19882	92.0	-40.0	710.5	6.0806875	5.41268	25.415022	-40.19137	70000	-3.7252903e-08	96.692406	-0.007796069	-24.849588	0.4046681	0.016070459	0.076907694	8.0	170.0866403579712
7	64.55556	27.649035	96.0	-5.0	719.6667	4.3335757	5.7888513	25.56065	-40.10291	80000	1.2417634e-08	67.40281	-0.008647182	-22.380274	0.3955699	0.015359285	0.0670067	14.0	194.93354606628418
8	62.52	27.358976	96.0	18.0	734.4	6.697253	4.52116	22.819057	-34.57134	90000	2.483527e-09	42.87859	-0.0083119115	-6.462355	0.39456284	0.015574428	0.059105914	8.0	221.1217381954193
9	59.666668	25.447113	100.0	18.0	700.0	6.3656917	4.98424	24.874725	-13.803795	100000	-4.718701e-08	59.500843	-0.006591954	-10.872577	0.39435384	0.01553586	0.05590559	5.0	245.97818541526794
10	80.44444	15.485557	100.0	56.0	667.44446	6.2305493	4.6041026	25.382484	-15.97942	110000	2.9802322e-08	35.130642	-0.005876837	-11.97002	0.3926055	0.01519582	0.06410641	9.0	271.89986419677734
11	77.333336	24.783506	100.0	22.0	681.2222	7.706404	4.754113	30.061213	-11.535138	120000	8.692344e-09	32.226665	-0.010000103	-4.856067	0.39183196	0.015271385	0.08510851	20.0	293.6494336128235
12	54.555557	30.35022	100.0	-15.0	720.55554	7.930025	5.1815634	24.337076	-25.187824	130000	-1.2417634e-08	65.5335	-0.0076173344	-15.225389	0.40161037	0.015368767	0.08320832	11.0	319.0644099712372
13	60.22222	27.779999	96.0	-5.0	699.6667	6.5508623	5.063546	25.897455	-26.987421	140000	6.2088173e-10	37.230877	-0.009550788	-6.295482	0.40782717	0.0151087595	0.088408835	14.0	341.4760389328003
14	52.0	33.48963	84.0	-25.0	714.7778	6.6946783	4.740076	25.888382	-23.883099	150000	-2.4835268e-08	58.468258	-0.006562308	-7.8244414	0.40851238	0.015029959	0.09710971	7.0	366.3263931274414
15	63.11111	20.463758	88.0	20.0	701.2222	5.7251444	4.7784324	25.332422	-25.363384	160000	-6.208817e-09	37.564285	-0.011435173	-5.8315315	0.40026608	0.01587726	0.090809084	17.0	392.39728832244873
16	63.26	33.78829	92.0	-30.0	739.9	6.176272	4.634065	25.633093	-40.161922	170000	3.7252903e-09	58.813816	-0.007430751	-7.589847	0.38615882	0.015484442	0.07580758	13.0	415.07839846611023
17	78.111115	19.27834	100.0	39.0	700.8889	6.6555643	4.6162553	25.692232	-20.090612	180000	-3.1664968e-08	28.016418	-0.0055298354	-8.970451	0.38988185	0.015569379	0.06470647	8.0	439.9296896457672
18	64.06	27.750177	100.0	-5.0	781.9	8.022871	4.6056166	25.520424	-18.797132	190000	0.0	57.02484	-0.005965087	-13.982315	0.39892185	0.015071672	0.079307936	9.0	463.06210064888
19	58.444443	24.617569	100.0	4.0	715.6667	6.695318	4.545304	25.656155	-22.068825	200000	-4.346172e-09	57.166172	-0.010835302	-16.371817	0.3857939	0.015579775	0.085608564	20.0	488.2161214351654
20	60.54	31.498323	100.0	12.0	751.1	6.2463393	4.716789	26.393112	-35.38136	210000	-1.7384687e-08	86.46035	-0.010648149	-17.352882	0.37364188	0.015640704	0.076007605	18.0	513.9528031349182
21	64.3	41.558914	100.0	-55.0	812.1667	6.1862636	4.531127	24.668034	-17.820707	220000	-2.9802322e-08	66.60499	-0.0070012086	-12.990757	0.37237272	0.015911875	0.060706068	7.0	540.4129583835602
22	66.72	21.788658	92.0	28.0	753.3	6.5120883	4.917892	22.357418	-35.881287	230000	0.0	38.121593	-0.00870417	-5.399709	0.37293997	0.016347975	0.0890089	14.0	565.8672788143158
23	75.44444	16.159697	96.0	56.0	681.44446	6.829599	4.579726	23.335732	-25.008347	240000	4.967054e-09	36.88399	-0.007006164	-5.4626365	0.369306	0.015222092	0.07390739	12.0	588.2270393371582
24	76.888885	19.846323	100.0	36.0	676.3333	7.3078513	4.4630637	26.462914	-8.949898	250000	4.967054e-09	25.090065	-0.006304078	-4.0512366	0.3781178	0.016191864	0.065806575	8.0	612.4298660755157
25	74.259995	15.951439	100.0	49.0	750.1	7.643422	4.9169626	27.100151	-28.624588	260000	-1.9868216e-08	38.056812	-0.0092339	-5.638621	0.38208237	0.015006575	0.08230823	15.0	637.3297865390778
26	54.079998	45.421333	100.0	-50.0	684.0	7.3553815	4.302448	24.789192	-24.088154	270000	0.0	88.27237	-0.009105013	-19.532394	0.3648571	0.015688738	0.061606158	12.0	662.5217139720917
27	53.079998	47.52365	100.0	-50.0	742.6	6.1751194	4.99546	22.269844	-28.078852	280000	-4.5324366e-08	74.22584	-0.005457437	-24.271936	0.36752152	0.016550338	0.07380738	8.0	684.6922106742859
28	65.4	33.268604	100.0	-25.0	769.2727	5.5996113	5.7999063	26.758018	-28.88833	290000	3.228585e-08	75.75824	-0.004109662	-17.493687	0.37926558	0.015100833	0.058205824	5.0	710.814129114151
29	73.3	19.545076	100.0	40.0	738.3	6.8219957	5.0464835	26.633818	-26.445518	300000	-1.8936893e-08	31.88092	-0.010462207	-6.7742524	0.36619434	0.015462015	0.08060806	18.0	734.7045016288757
30	75.58	17.604193	100.0	52.0	746.4	7.3535776	4.778923	27.080585	-31.379185	310000	-4.967054e-09	40.920685	-0.009510062	-4.982184	0.37344614	0.015440331	0.08640864	17.0	759.6202297210693
31	67.1	35.044117	100.0	-25.0	731.3	6.810212	5.3705482	25.194721	-38.403458	320000	-8.692344e-09	67.40856	-0.013249806	-10.784022	0.37571216	0.015128839	0.09390939	31.0	783.7443222999573
32	62.77778	25.40244	92.0	8.0	715.1111	6.4425497	4.900989	25.046873	-30.103743	330000	-2.483527e-09	53.63611	-0.0071091726	-11.84731	0.37820148	0.01594534	0.0720072	6.0	807.9859611988068
33	70.82	24.001076	100.0	24.0	730.4	6.624166	3.7225313	24.32736	-19.690136	340000	1.9868216e-08	47.685123	-0.008417498	-6.4899955	0.37187722	0.015449653	0.077807784	14.0	832.7836475372314
34	74.22	21.147945	100.0	35.0	733.7	7.099672	4.31908	24.511892	-13.57537	350000	7.450581e-09	30.155977	-0.007481499	-4.6529846	0.37170944	0.015939748	0.06040604	10.0	857.6414930820465
35	56.52	29.86626	95.2	-5.0	739.4	7.393026	4.6747036	25.395636	-24.692627	360000	-1.2417634e-08	59.565765	-0.010076168	-14.100818	0.37051368	0.015519646	0.07740774	19.0	883.5211338996887
36	78.0	17.486502	100.0	54.0	705.7778	5.8859496	4.1329484	21.195112	-25.25894	370000	-4.967054e-09	46.690414	-0.008871203	-17.043697	0.37832832	0.015751123	0.077107705	11.0	908.3432388305664
37	65.2	30.4	100.0	-10.0	742.8	7.2541795	4.4060764	25.191425	-28.116371	380000	3.973643e-08	72.59561	-0.008689764	-11.151935	0.3822198	0.015072983	0.08060806	17.0	932.448415517807
38	69.13333	17.70637	92.0	34.0	829.6667	6.427285	4.396301	25.741571	-14.561393	390000	-1.3659398e-08	29.713434	-0.00849343	-4.3967266	0.37881744	0.015344639	0.07670767	14.0	959.5040602684021
39	77.41818	18.088562	96.0	34.0	765.5455	6.53203	4.3913226	25.54176	-17.70851	400000	0.0	25.762888	-0.008973245	-5.0030575	0.3683003	0.01633525	0.07590759	12.0	984.5493350028992
40	67.06	34.912926	100.0	-25.0	738.0	7.795059	4.3150363	26.329473	-39.125732	410000	2.483527e-09	63.08684	-0.009172921	-8.642638	0.37875864	0.015094932	0.070707075	15.0	1009.8936913013458
41	78.54	19.321087	100.0	49.0	743.9	6.950463	4.1802444	23.772894	-26.770666	420000	-2.8560558e-08	34.78966	-0.0052979123	-9.045966	0.3873262	0.015703224	0.06040604	7.0	1035.6271381378174
42	71.1	26.170403	100.0	22.0	758.5	7.5491323	4.677381	26.20887	-24.992628	430000	-1.4901161e-08	34.60224	-0.00853499	-4.566622	0.38431075	0.01594697	0.0790079	10.0	1060.0869045257568
43	75.83636	18.736996	100.0	36.0	767.1818	7.050732	4.4384484	25.83503	-11.268507	440000	2.0489097e-08	38.915413	-0.0076447255	-7.261212	0.37983108	0.015495311	0.07760776	12.0	1086.8624243736267
44	81.86667	17.902203	100.0	40.0	780.5	8.23536	4.66909	25.096209	-10.966429	450000	-1.6763806e-08	24.815348	-0.0074733533	-6.5561447	0.36710802	0.015131208	0.07360736	10.0	1112.5369181632996
45	71.77778	21.591036	100.0	38.0	693.6667	8.60646	4.6429815	27.461876	-28.721737	460000	1.9868216e-08	45.860027	-0.011180309	-10.898633	0.36718884	0.015018689	0.07630763	34.0	1138.4744670391083
46	76.44444	15.748799	96.0	49.0	679.6667	7.0337605	4.955	26.201927	-20.384838	470000	2.7318796e-08	42.82724	-0.012112676	-9.989376	0.37972274	0.015476159	0.09450945	22.0	1162.1293261051178
47	72.0	35.548584	100.0	-20.0	779.5455	7.69571	4.6994534	26.796413	-16.915646	480000	1.3659398e-08	56.876804	-0.007023249	-10.66022	0.36817217	0.016530896	0.06690669	6.0	1188.5826456546783
48	75.0	20.242968	96.0	35.0	659.2222	7.29779	5.0764556	27.73441	-22.29953	490000	-4.967054e-09	33.72768	-0.012810054	-5.5070767	0.3786726	0.015352442	0.08880889	30.0	1210.908593416214
49	67.666664	29.424103	96.0	9.0	690.55554	7.4437323	4.797595	25.871216	-19.434101	500000	-2.9181441e-08	33.098385	-0.0064624324	-5.3459206	0.38750514	0.01676595	0.04140414	5.0	1234.3024277687073
50	78.92	17.62548	96.0	52.0	729.4	7.2605486	4.9108224	28.767103	-20.256533	510000	-6.208817e-09	28.666422	-0.008315985	-5.988745	0.38542685	0.01526389	0.07300731	13.0	1259.271176815033
51	67.479996	36.932823	100.0	-20.0	718.2	7.729649	4.758213	24.978275	-43.312965	520000	-1.0554989e-08	64.7901	-0.008773644	-8.295137	0.37528062	0.016216772	0.08090809	10.0	1283.8997893333435
52	73.259995	15.423631	92.0	49.0	725.1	6.814624	4.5767474	23.427174	-18.481983	530000	1.2417634e-08	35.192394	-0.010136537	-3.9442036	0.3794272	0.015105385	0.0750075	20.0	1308.3551223278046
53	72.77778	26.889809	100.0	15.0	672.2222	7.025337	4.4773655	22.616066	-18.285065	540000	-4.9670536e-08	33.109352	-0.007957992	-6.4063935	0.37862158	0.015026105	0.07050705	10.0	1332.354959487915
54	81.6	15.09437	100.0	56.0	737.0	8.049601	4.676213	27.112062	-14.756958	550000	2.7939677e-09	20.096842	-0.007386646	-2.351455	0.37471548	0.01635448	0.080708064	11.0	1356.3961429595947
55	67.56364	23.771307	100.0	20.0	791.0	8.216023	4.448562	24.962523	-46.818787	560000	1.4901161e-08	44.831585	-0.010681902	-5.9507957	0.37610462	0.015119755	0.09120911	18.0	1381.6503775119781
56	69.01818	37.445473	96.0	-40.0	771.1818	7.089789	4.7016516	24.19388	-64.69363	570000	7.450581e-09	75.80007	-0.008924704	-12.94048	0.39130542	0.015098206	0.072507255	16.0	1408.8221516609192
57	60.3	38.30418	96.0	-20.0	733.6	6.706116	4.60878	21.471546	-25.396532	580000	1.4901161e-08	64.98803	-0.012936193	-13.467689	0.39025012	0.01542044	0.09250925	24.0	1434.8599960803986
