Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-82.5	8.13941	-65.0	-95.0	476.25	-0.3478118	0.14163032	0.25473034	-0.82398957	10000	-4.4703484e-08	222.68083	-0.031051068	-144.62648	3.4343967	0.011098064	0.123912394	79.0	27.202850103378296
1	-76.31579	12.013382	-55.0	-95.0	467.6842	-8.393675	0.03646613	-8.022283	-8.413031	20000	7.450581e-09	68.42744	-0.03513464	-18.9191	3.4242122	0.012226318	0.16271627	79.0	50.048332929611206
2	-73.25	10.158125	-50.0	-85.0	478.7	-11.42887	0.026430402	-10.753174	-11.441447	30000	7.605801e-09	46.643772	-0.03427135	-0.9050229	3.405257	0.01315762	0.16821682	79.0	73.7144079208374
3	-68.05556	10.019272	-50.0	-90.0	512.1111	-12.193189	0.02748755	-11.485465	-12.204919	40000	0.0	42.13536	-0.035353612	-1.5493788	3.382859	0.015021599	0.1670167	64.0	97.4020037651062
4	-65.833336	12.04736	-40.0	-85.0	508.16666	-11.208668	0.04175704	-10.094163	-11.228765	50000	-2.2351742e-08	41.31399	-0.037206117	-0.4900767	3.3614476	0.013915263	0.15871587	79.0	121.32788372039795
5	-60.882355	10.604563	-45.0	-80.0	526.17645	-10.61246	0.056038916	-9.57445	-10.653149	60000	2.483527e-09	43.668156	-0.0320538	-0.9620552	3.3456757	0.015045998	0.1568157	50.0	142.9491481781006
6	-55.0	14.245743	-25.0	-80.0	548.4706	-9.728951	0.1306591	-8.179184	-9.859445	70000	7.450581e-09	36.729885	-0.037721876	-2.4538505	3.3308487	0.014848744	0.17571758	79.0	167.66013360023499
7	-55.625	17.399263	-20.0	-85.0	569.1875	-8.250254	0.514412	-5.7403884	-9.163608	80000	9.934108e-09	42.87083	-0.038920734	-1.0555967	3.30883	0.014772736	0.19641964	79.0	191.45040702819824
8	-53.4375	14.760457	-20.0	-80.0	570.875	-8.060428	0.8154586	-4.653043	-9.568519	90000	-1.2417634e-08	46.181408	-0.040343307	-0.90967435	3.2861395	0.012559664	0.1929193	79.0	215.1785888671875
9	-35.984615	20.071482	17.2	-65.0	665.1539	-8.201049	1.0171211	-3.5058842	-9.91078	100000	-4.9437705e-08	55.154354	-0.041568592	-14.059848	3.2574854	0.01501733	0.20272028	76.0	236.63584065437317
10	-43.666668	18.92676	-15.0	-70.0	611.4667	-4.543646	1.2803819	1.3839532	-8.377233	110000	0.0	42.583645	-0.04075357	-3.0544498	3.2287667	0.012541042	0.2019202	79.0	263.26086044311523
11	-46.0	13.44123	-10.0	-65.0	580.4	-5.7915516	1.4109089	-0.46601844	-9.490432	120000	-2.483527e-09	33.85675	-0.03055416	-2.0312817	3.196019	0.015035012	0.1660166	32.0	285.87957739830017
12	-23.813334	18.021982	11.2	-55.0	646.93335	-6.2030334	1.5396376	-0.7137613	-9.967835	130000	9.934108e-09	49.36595	-0.04112776	-12.965692	3.1778185	0.012479448	0.19551957	79.0	310.67357778549194
13	-29.026669	20.953518	6.4	-60.0	604.06665	-2.7496629	1.500366	1.7127485	-8.633701	140000	7.450581e-09	42.56336	-0.039513055	-4.668427	3.1485882	0.015099175	0.18381839	55.0	334.6897783279419
14	-28.571428	16.948301	-5.0	-65.0	630.7857	-4.0909276	1.4821839	0.24648342	-9.42746	150000	-3.7252903e-09	41.952206	-0.030453203	-2.6818123	3.1284754	0.015137571	0.16951697	30.0	360.60025930404663
15	-13.557143	18.84147	19.6	-50.0	649.4286	-3.6463673	1.6866429	0.9585211	-9.571236	160000	4.967054e-09	43.403732	-0.035825763	-6.4065056	3.1138134	0.015010476	0.17641763	47.0	384.5790550708771
16	-15.82857	22.234188	20.8	-50.0	655.7857	-1.7734612	1.8097953	2.2889984	-8.618248	170000	1.3038516e-08	42.561348	-0.033261653	-3.7947338	3.1051939	0.015100305	0.1820182	32.0	407.0267837047577
17	-12.661539	20.333738	23.2	-55.0	678.2308	-2.1184628	2.1772435	3.7808437	-10.10961	180000	0.0	36.64844	-0.043317705	-3.9091904	3.07751	0.013181511	0.21652167	79.0	430.6702468395233
18	3.785714	21.351944	38.8	-30.0	626.9286	-1.4965879	2.1101947	5.378132	-10.773723	190000	3.7252903e-09	46.794006	-0.03758083	-7.5548763	3.0416148	0.0150291845	0.20282029	44.0	454.67879986763
