epoch,score
250,108.65095920047726
500,136.94670606531992
750,103.46443350877
1000,124.97986219565678
1250,116.7259319406745
1500,117.80183614412438
1750,118.16640434709309
2000,113.89813214476209
2250,121.36913337317499
2500,125.93570497038192
2750,125.24660205301345
3000,117.20056768377583
