Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-74.28571	14.239926	-40.0	-96.0	659.0	-5.224593	11.323452	15.789835	-76.66916	10000	-1.9868216e-08	230.38306	-0.013057295	-113.00564	0.5831805	0.016022151	0.101310134	7.0	30.237765789031982
1	-70.34615	19.451504	-14.5	-92.0	714.9231	-9.264283	12.607022	15.660616	-70.99714	20000	-2.2351742e-08	109.13622	-0.013136424	-30.559921	0.602133	0.0151194045	0.11071107	14.0	53.05616116523743
2	-49.38889	43.67225	14.5	-88.0	961.44446	-7.0480037	11.924484	11.974629	-73.03918	30000	-1.8626451e-09	68.17922	-0.0153787555	-18.321924	0.5658085	0.015252553	0.10531053	27.0	75.8241515159607
3	-66.041664	24.789495	-0.5	-88.0	772.6667	-7.570291	13.42418	16.717941	-74.66005	40000	9.934108e-09	138.91632	-0.0122647835	-46.597366	0.57471704	0.015268137	0.10531053	15.0	99.04278302192688
4	-68.42857	23.350481	2.0	-96.0	642.5714	-9.968775	12.587841	13.712518	-73.95767	50000	-1.2417634e-08	111.42869	-0.016553417	-38.326405	0.5825436	0.015031788	0.10861086	25.0	121.68255043029785
5	-69.89286	26.239405	-3.5	-96.0	669.2857	-9.513426	13.068554	12.756378	-71.866234	60000	-3.228585e-08	153.5528	-0.014356685	-45.030186	0.57734686	0.015379229	0.09610961	14.0	145.12011337280273
6	-71.5	23.077406	-0.5	-92.0	627.06665	-8.109153	12.045257	16.158241	-79.26892	70000	2.4835268e-08	136.88026	-0.014148883	-51.372364	0.57946104	0.015119254	0.10381038	20.0	175.48458337783813
7	-69.2	22.100376	-2.0	-96.0	618.4	-9.730345	13.2408695	14.068319	-81.53364	80000	1.1175871e-08	155.3282	-0.014784371	-53.700775	0.572993	0.01591063	0.10451045	17.0	204.15059089660645
8	-61.958332	36.556156	14.0	-96.0	716.6667	-8.770966	11.792544	11.403969	-81.92357	90000	-2.20413e-08	134.72612	-0.011112074	-48.600113	0.57553357	0.01689349	0.08270827	10.0	227.59671187400818
9	-64.583336	28.65443	1.0	-92.0	779.9167	-7.2115374	12.895227	19.053944	-81.7832	100000	-2.4835268e-08	133.13255	-0.011560143	-34.448	0.5907244	0.015050334	0.10721072	15.0	258.6648473739624
10	-54.75	42.484344	38.5	-92.0	678.0714	-8.0903015	11.851457	12.3569565	-74.01425	110000	-8.692344e-09	142.17755	-0.012070708	-43.987873	0.58517504	0.0152859865	0.096909694	12.0	284.4452791213989
11	-60.65	32.171455	21.5	-88.0	864.3	-7.2317443	12.852853	16.55424	-83.322495	120000	-6.498643e-09	130.54695	-0.013340135	-40.368687	0.5859576	0.015560965	0.11571157	13.0	306.0277006626129
12	-58.9	37.16571	26.0	-96.0	908.9	-7.0357866	11.661688	11.534466	-77.1038	130000	-1.6142925e-08	93.20953	-0.018401405	-25.18339	0.56290394	0.015099142	0.12171217	29.0	329.08038306236267
