Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	99.64286	1.007624	100.0	96.0	170.39285	33.607224	14.518931	56.5525	4.010911	10000	-7.450581e-09	17.727867	0.0067267776	-1.5890344	0.44491658	0.02525424	0.085708566	1.0	19.355560541152954
1	99.29825	3.5042074	100.0	76.0	169.9649	34.04172	13.915163	56.21598	1.8872545	20000	-4.967054e-09	17.998293	-0.007290395	-2.236232	0.43329266	0.009292291	0.048904892	79.0	38.54489088058472
2	99.47369	3.1904747	100.0	76.0	171.33333	33.52805	14.84358	56.655155	4.538821	30000	1.0554989e-08	14.382415	-0.006893866	-0.24467754	0.42934147	0.007073956	0.052805286	79.0	58.30818223953247
3	99.82758	0.6730766	100.0	96.0	167.7069	34.14132	14.6683035	56.762737	3.4818616	40000	-1.07878195e-08	12.822258	-0.0072046705	-0.3396988	0.44455397	0.0062557235	0.05280528	79.0	78.17821407318115
4	99.06896	4.254256	100.0	70.0	166.13792	34.541447	14.573128	57.0585	2.8720877	50000	6.829699e-09	18.013472	-0.008332917	-2.268019	0.4493182	0.007988101	0.050305028	79.0	97.78707027435303
5	99.86441	0.72386974	100.0	96.0	166.67796	34.032505	14.880145	57.38412	-0.866504	60000	1.0554989e-08	12.378596	-0.008098009	-1.129249	0.4441054	0.00967914	0.060706068	79.0	117.09298968315125
6	99.53333	1.7269112	100.0	90.0	165.06667	34.62529	14.550918	57.180775	3.166424	70000	1.4901161e-08	10.326472	-0.0074436874	-0.3685576	0.4701388	0.015582013	0.06290629	58.0	136.90584135055542
7	99.42373	2.241393	100.0	88.0	165.0339	34.565918	14.788977	57.193268	4.8645587	80000	-1.14863115e-08	9.900176	-0.008780443	-0.7669495	0.4897242	0.0078797145	0.06610661	79.0	156.93551683425903
8	99.830505	0.9233789	100.0	94.0	165.55933	34.211094	15.02466	57.53041	3.497516	90000	-1.3348957e-08	9.851343	-0.0068987287	-0.43701363	0.4734865	0.006546695	0.060706068	79.0	176.55676436424255
9	99.666664	1.8678569	100.0	86.0	163.23334	34.804836	14.509843	57.37116	2.8108242	100000	7.450581e-09	8.710518	-0.006720075	-0.84618187	0.4832112	0.004613861	0.055705566	79.0	197.03716850280762
