Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-83.84615	13.323468	-50.0	-100.0	250.84616	0.1970573	0.29179955	0.87431777	-0.715433	10000	1.5444433e-08	1088.5098	-0.027657008	-343.63223	3.423669	0.015044753	0.17111711	48.0	31.237383604049683
1	-85.26316	13.325253	-60.0	-100.0	253.73685	-7.2775054	3.631831	8.475312	-8.880361	20000	-2.6387472e-09	716.1351	-0.03390786	-185.90486	3.4156227	0.011704996	0.21262127	79.0	59.1505811214447
2	-82.36842	18.415413	-40.0	-100.0	255.23685	-12.646615	3.831785	13.528303	-14.145302	30000	-2.1109978e-08	522.83124	-0.036503535	-132.45276	3.3997805	0.008197901	0.24502452	79.0	88.10378289222717
3	-80.25641	17.75722	-30.0	-100.0	250.17949	-17.231325	3.435924	16.708025	-18.476942	40000	-3.1509746e-08	401.3787	-0.03544821	-96.93475	3.3825881	0.010616824	0.22742273	79.0	115.56532883644104
4	-82.30769	17.608496	-40.0	-100.0	247.15384	-18.053314	5.4651227	5.3524218	-22.322216	50000	8.692344e-09	316.00256	-0.035818547	-62.153973	3.371854	0.013482943	0.20572056	79.0	145.76175546646118
5	-81.28205	17.999928	-20.0	-100.0	248.17949	-20.89087	6.267288	11.5028715	-25.859852	60000	-1.6763806e-08	271.5258	-0.03985766	-48.21292	3.3528264	0.011392153	0.22632265	79.0	177.01237964630127
6	-81.8421	16.198645	-40.0	-100.0	256.92105	-21.808998	8.336271	2.834073	-28.878613	70000	1.1175871e-08	217.96739	-0.039493468	-26.26095	3.3311567	0.011958294	0.22222222	79.0	206.89896178245544
7	-84.73684	16.015919	-50.0	-100.0	257.92105	-22.635927	8.493828	3.4150999	-30.99544	80000	-1.2417635e-09	224.9727	-0.036327627	-30.585424	3.309779	0.015004054	0.22512253	78.0	236.4028115272522
8	-84.210526	17.715824	-20.0	-100.0	257.0263	-23.886328	9.489339	5.7955694	-33.350765	90000	-6.208817e-09	202.10352	-0.039238553	-23.759577	3.3085334	0.01324363	0.2531253	79.0	266.92713809013367
9	-80.76923	16.390211	-40.0	-100.0	250.97437	-24.050978	10.679112	8.11767	-35.407337	100000	6.2088173e-10	175.3932	-0.041377734	-19.892645	3.2936509	0.014034736	0.24902491	79.0	296.47144198417664
10	-78.91892	19.421886	-40.0	-100.0	266.5946	-24.757572	11.103702	29.875078	-37.050114	110000	3.8029007e-09	174.05664	-0.03241426	-27.321442	3.2787254	0.01504453	0.2050205	42.0	324.3141589164734
11	-82.22222	14.92781	-50.0	-100.0	269.75	-23.565973	11.393128	11.678052	-38.304333	120000	0.0	152.52771	-0.03827723	-19.601389	3.2607028	0.013061513	0.21872187	79.0	353.4295246601105
12	-78.10811	19.149178	-30.0	-100.0	262.6216	-24.0072	11.210007	17.05268	-39.38186	130000	-9.934108e-09	166.7025	-0.03779947	-29.460752	3.245795	0.015011813	0.22062206	60.0	380.0180435180664
13	-83.14286	14.495602	-50.0	-100.0	262.4	-24.012348	12.288562	16.908232	-40.743206	140000	-7.450581e-09	135.7036	-0.033700842	-20.424316	3.2345698	0.015077046	0.21032102	52.0	408.8820652961731
14	-77.36842	18.451103	-40.0	-100.0	259.8158	-25.411812	11.960842	25.24522	-41.961544	150000	-3.7252903e-09	135.09758	-0.03421481	-20.243734	3.221634	0.015008562	0.23292331	46.0	437.6728057861328
15	-80.0	16.641006	-40.0	-100.0	253.3077	-23.58575	13.346048	16.57167	-43.203598	160000	-1.7074248e-09	139.17618	-0.02891299	-24.844767	3.191769	0.0150740715	0.21342134	34.0	465.62193155288696
16	-75.945946	16.839378	-40.0	-100.0	260.43243	-25.545647	13.1071205	24.691757	-44.383835	170000	9.4684465e-09	147.25575	-0.033480506	-25.570715	3.166818	0.015043433	0.19461946	55.0	495.09352588653564
