epoch,score
250,121.78099140324419
500,127.2552040425252
750,122.52488991728472
1000,129.92237893922007
1250,128.88984973128458
1500,133.1931635898507
1750,137.1806486561704
2000,127.01880705967213
2250,119.14327991414685
2500,114.79760186675801
2750,124.04915521993516
3000,126.70141895181527
