Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	90.83509	14.772479	100.0	-10.0	173.8772	30.025805	15.589552	61.443832	-45.700462	10000	-3.259629e-09	71.03893	-0.007829386	-13.560571	0.42391583	0.015021503	0.06990699	5.0	29.885201692581177
1	94.10175	4.397307	100.0	82.0	171.63158	30.029364	13.826306	60.239464	-1.8919191	20000	1.2417634e-08	35.210995	-0.01124056	-9.752634	0.40338063	0.015165293	0.09170917	16.0	56.14456915855408
2	90.85556	15.027895	100.0	-10.0	180.68518	29.232882	16.42655	62.73309	-28.514002	30000	-1.9247333e-08	46.512817	-0.008619395	-11.262021	0.41818425	0.015919328	0.08960896	10.0	84.64582300186157
3	91.96364	6.3968277	100.0	75.4	176.67273	29.303484	14.256305	59.975338	-16.7175	40000	-2.4835268e-08	37.90446	-0.008767467	-8.765575	0.41359082	0.01595972	0.07990799	8.0	113.27953219413757
4	92.12727	7.8536954	100.0	60.4	177.52727	29.47927	13.744121	59.898605	-5.0826135	50000	-7.450581e-09	35.43288	-0.008715932	-6.1701264	0.41372237	0.01510571	0.07380738	10.0	141.61317920684814
5	92.96786	5.635319	100.0	78.0	172.82143	30.339787	14.181694	61.78409	-12.746006	60000	-2.0489097e-08	33.630188	-0.010767926	-6.0481534	0.40173307	0.015094575	0.07880788	14.0	169.93365621566772
6	93.0509	5.3125196	100.0	78.4	177.16364	30.224909	14.233265	61.950768	-20.804058	70000	1.4901161e-08	35.333317	-0.00882987	-7.694259	0.417588	0.015681632	0.09120911	10.0	195.03642678260803
7	91.725	15.852921	100.0	-20.0	174.64285	29.450083	15.628699	61.935757	-24.338663	80000	7.450581e-09	38.732365	-0.01424379	-7.533957	0.4163303	0.01512992	0.08680868	22.0	222.7227623462677
8	93.78245	5.4457817	100.0	80.0	169.66667	31.163057	13.896637	63.65311	-14.101128	90000	-2.1109978e-08	32.91836	-0.009762288	-7.4715114	0.41369832	0.0151754925	0.09140914	12.0	250.29335355758667
9	92.78519	6.240827	100.0	66.4	176.14815	30.356144	14.4499235	60.42135	-49.233276	100000	-6.0535967e-09	43.967716	-0.0076365476	-10.514199	0.4146593	0.015834069	0.07810781	10.0	279.7806730270386
10	92.832726	6.1095176	100.0	73.0	176.07272	29.68349	14.098902	60.955482	-9.197828	110000	3.0423205e-08	35.11325	-0.014056473	-5.516773	0.41570964	0.015219402	0.09190919	29.0	310.264901638031
11	91.41112	6.9494915	100.0	76.0	179.83333	29.785229	13.529813	60.92563	-11.4024935	120000	1.7384687e-08	37.520996	-0.008493317	-7.523482	0.4184874	0.015558164	0.07880788	9.0	339.8035514354706
12	92.759995	6.1722436	100.0	76.0	176.61818	28.963802	13.608902	60.209595	-21.214853	130000	-1.7384687e-08	40.268314	-0.011577911	-6.9064717	0.40994573	0.015126139	0.084808476	29.0	368.4154806137085
13	93.89455	4.8004327	100.0	82.0	175.43637	30.01386	13.532381	63.13924	-2.157577	140000	-6.208817e-09	33.064137	-0.011972867	-4.434669	0.41600564	0.015434951	0.0861086	23.0	397.99052143096924
14	92.71154	5.9003797	100.0	80.0	183.13461	30.011503	13.526281	62.303288	-0.7271651	150000	6.829699e-09	36.774124	-0.01069795	-6.409752	0.42205048	0.015485312	0.08250824	15.0	428.03782653808594
15	92.538185	7.769205	100.0	49.6	175.70909	29.80905	13.655127	63.694283	-1.5651746	160000	-2.9802322e-08	36.936714	-0.009465103	-6.0778117	0.4213961	0.015407518	0.07130713	12.0	455.0315594673157
16	93.229095	5.7067003	100.0	76.6	177.03636	30.029724	13.838564	62.5661	-0.38960093	170000	9.934108e-09	34.53717	-0.009955871	-4.359341	0.41192135	0.015028608	0.10081008	15.0	483.4511489868164
17	91.71923	9.023751	100.0	40.6	184.13461	28.941551	14.411662	60.81631	-41.37505	180000	2.4835268e-08	44.75806	-0.012056329	-11.2276	0.4192885	0.01513939	0.08220822	15.0	511.21780371665955
18	92.64444	5.6919265	100.0	80.2	179.35185	29.281393	13.647793	58.722416	-16.858559	190000	-3.8494665e-08	31.637665	-0.0092640035	-4.722955	0.4260144	0.01529339	0.08170817	10.0	540.32355427742
19	92.45283	5.638567	100.0	78.0	182.67924	29.601755	13.547021	61.835762	-1.5017898	200000	1.1175871e-08	37.76877	-0.016416553	-5.046585	0.42191878	0.01512139	0.09930993	62.0	569.4517993927002
20	91.490906	6.6257696	100.0	72.0	175.65454	29.765022	13.735947	62.566055	-13.0969515	210000	-1.8626451e-08	37.34036	-0.010275125	-5.619662	0.42618194	0.01575216	0.07490749	14.0	596.8851947784424
21	91.454544	8.009217	100.0	54.4	176.4	29.259275	13.971543	62.325806	-22.71537	220000	-2.2972623e-08	39.29083	-0.01347795	-6.182808	0.42371878	0.01505334	0.09490949	26.0	626.0662324428558
22	91.61454	6.5471554	100.0	74.0	178.6909	29.605906	13.487888	63.543865	0.04023838	230000	1.4901161e-08	39.15598	-0.010699882	-6.0465474	0.41790196	0.015414521	0.082308225	17.0	657.2168235778809
23	91.55185	6.7665777	100.0	74.2	179.09259	28.7504	14.3225	61.0622	-23.719486	240000	1.9868216e-08	38.614567	-0.009679257	-9.075414	0.42188492	0.015942665	0.08260826	11.0	685.6288678646088
24	91.796295	7.0785527	100.0	75.4	178.01852	29.42806	13.345567	58.387005	-18.808714	250000	9.934108e-09	35.01964	-0.009682032	-5.197254	0.4166777	0.015436868	0.083808385	11.0	713.9209685325623
25	92.49642	5.991302	100.0	74.8	172.875	30.337257	13.310058	58.928932	-22.573288	260000	-3.7252903e-09	35.87685	-0.018324835	-5.5698676	0.41930547	0.015022747	0.10021002	70.0	743.7376182079315
26	92.332146	5.9334736	100.0	75.4	178.01785	30.228418	13.781386	61.4368	-2.2414234	270000	-4.967054e-09	34.608532	-0.0107346745	-5.460036	0.4164636	0.015299749	0.08250825	12.0	773.30189037323
27	92.82143	5.3146267	100.0	80.2	174.92857	30.060196	13.694526	59.766506	-0.028940737	280000	2.483527e-09	32.73876	-0.0069297035	-4.576631	0.4167525	0.015410192	0.08310831	7.0	800.0741882324219
28	92.24364	8.385848	100.0	59.2	174.56363	29.943499	14.49917	62.307095	-20.525536	290000	1.0554989e-08	38.477184	-0.007158158	-7.3993497	0.40522793	0.015405803	0.09340934	7.0	827.6054556369781
29	93.210915	5.051217	100.0	76.0	173.38182	30.132353	13.897532	59.253677	-4.3715243	300000	2.483527e-09	37.19937	-0.013837541	-5.051229	0.41245624	0.015247102	0.10451046	35.0	857.615716457367
30	93.20741	5.26061	100.0	79.6	177.25926	29.89312	13.513484	62.24256	-15.063098	310000	9.934108e-09	34.359577	-0.013982142	-7.942068	0.4039431	0.015731843	0.08450845	17.0	885.0998289585114
31	90.830185	9.830671	100.0	37.6	181.56604	28.623453	14.972122	63.788113	-29.793585	320000	-6.2088173e-10	37.74744	-0.01182354	-8.820934	0.40152386	0.015206396	0.082808286	13.0	912.339834690094
32	92.58182	7.007142	100.0	61.6	178.29091	29.191559	13.772654	58.687363	-16.378355	330000	1.4901161e-08	30.91881	-0.007530282	-4.5909114	0.40869176	0.015974535	0.078707874	11.0	941.7659585475922
33	91.057144	14.456224	100.0	-10.0	174.125	29.82601	14.111858	60.868702	-21.257359	340000	2.483527e-09	58.10976	-0.007820704	-17.716494	0.39402667	0.01623941	0.08250826	8.0	970.0382907390594
34	91.71321	5.468194	100.0	80.0	182.18867	29.179037	14.086872	61.004356	-13.592694	350000	1.1175871e-08	38.89169	-0.0088101765	-8.049056	0.39132562	0.015482977	0.08840885	10.0	997.9870135784149
35	93.54386	5.8354945	100.0	64.6	168.91228	30.157707	13.33587	62.124287	-18.053116	360000	-8.071463e-09	38.13518	-0.012557206	-8.676719	0.39019918	0.015126165	0.0940094	24.0	1027.3624556064606
36	92.159996	7.5871086	100.0	56.8	177.6909	29.812748	14.983112	61.814484	-39.079983	370000	2.3593506e-08	43.4717	-0.008500052	-8.59166	0.38375255	0.015165817	0.07960796	10.0	1057.1403081417084
37	94.10345	4.166242	100.0	86.8	170.84483	30.402683	13.90062	59.68391	-25.37982	380000	2.6154643e-08	32.03412	-0.0074529015	-6.34914	0.38923892	0.016510615	0.075207524	8.0	1086.2378911972046
38	93.07143	5.576408	100.0	76.6	176.17857	30.883972	13.62159	62.498295	-4.351016	390000	-1.8936893e-08	33.74119	-0.009943341	-5.362681	0.3845191	0.015154376	0.10091009	13.0	1114.7148866653442
39	91.37819	7.4018836	100.0	71.2	178.3091	29.796331	13.809751	62.19249	-26.25359	400000	-3.4769375e-08	35.778065	-0.009301076	-7.935669	0.38495302	0.016132932	0.08610862	12.0	1144.681594133377
40	92.30909	6.735287	100.0	72.4	173.38182	29.402918	14.434404	62.194305	-6.7033954	410000	-2.6077032e-08	33.55313	-0.008015589	-6.3266673	0.38086894	0.016636208	0.07090709	10.0	1171.772845506668
41	93.17143	6.409305	100.0	64.6	174.60715	29.975029	14.31174	61.222347	-29.558123	420000	1.1796753e-08	30.333038	-0.0059953914	-4.727255	0.38155413	0.015647309	0.08620862	7.0	1200.3641686439514
42	93.38966	4.7902803	100.0	82.0	171.05173	30.808956	14.1883745	61.05408	-3.164309	430000	4.718701e-08	25.03852	-0.0064874566	-4.3156414	0.38666502	0.016814927	0.077807784	7.0	1227.000704050064
43	92.40351	7.1837535	100.0	66.0	171.78947	30.478994	14.5602865	61.478107	-14.1919155	440000	5.9604645e-08	30.861471	-0.009794828	-4.1180725	0.39063773	0.0155256875	0.08140814	13.0	1255.8970272541046
44	92.72727	6.4926662	100.0	67.0	174.54546	30.476866	13.680419	61.538666	-2.4287326	450000	-2.5456151e-08	32.726295	-0.015863752	-5.2460237	0.37975582	0.015099347	0.08940894	75.0	1285.6339235305786
45	91.31636	8.572489	100.0	47.8	176.12727	29.654493	14.4345045	62.326103	-3.3695855	460000	-1.9868216e-08	43.837406	-0.009685322	-9.091181	0.39825332	0.017226955	0.07570758	11.0	1314.2525565624237
46	90.36728	18.58358	100.0	-40.0	179.21819	28.855276	15.091965	63.526073	-21.177446	470000	-4.967054e-09	51.524933	-0.016979557	-12.853897	0.39943898	0.01501438	0.11331133	79.0	1345.6448066234589
