Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-35.04	57.16326	87.0	-100.0	368.88	-0.1284921	0.28578234	0.7900933	-0.5862145	10000	2.4835268e-08	561.32	-0.025072275	-113.378265	3.4242904	0.015039683	0.23262326	41.0	26.156839609146118
1	-29.461538	54.62687	91.0	-100.0	367.65384	-5.545012	2.1313174	7.2434125	-8.701428	20000	-7.450581e-09	479.1682	-0.029140165	-84.28946	3.4086208	0.015002335	0.20702071	70.0	52.95096254348755
2	-22.481482	51.94539	97.0	-80.0	365.14816	-5.73175	5.140939	6.604996	-14.408919	30000	-4.967054e-09	384.54736	-0.029773578	-72.37052	3.3884544	0.015058766	0.1791179	72.0	82.05030250549316
3	11.769231	51.98691	95.0	-60.0	356.53845	-6.328972	7.0847964	17.251127	-18.860792	40000	1.4901161e-08	320.06116	-0.032355864	-67.05089	3.375549	0.0066271736	0.1749175	79.0	109.15167355537415
4	-11.0	45.872105	88.0	-100.0	378.5	-1.4441823	10.353267	17.42813	-20.785515	50000	-1.4901161e-08	257.27063	-0.032155577	-45.97933	3.359146	0.013294571	0.15541555	79.0	132.70277309417725
5	8.6	50.969795	94.0	-60.0	366.48	-5.055238	11.101587	21.287043	-23.23209	60000	1.2417634e-08	272.0056	-0.03328952	-38.107876	3.3460333	0.011878786	0.19281928	79.0	158.97292113304138
6	24.416666	47.942604	93.0	-60.0	381.29166	-0.7984065	11.603884	17.420238	-24.406048	70000	-6.208817e-09	260.94907	-0.035512447	-34.577343	3.3225338	0.010215831	0.18321832	79.0	184.30421590805054
7	54.448277	32.971863	97.0	-20.0	332.4138	2.4925137	8.816447	19.567074	-23.287804	80000	4.967054e-09	279.70773	-0.0340926	-70.078514	3.3166215	0.0077661914	0.17251725	79.0	213.76564240455627
8	47.689655	40.772797	94.0	-40.0	324.34482	8.438761	6.6327877	21.741686	-23.145836	90000	-4.967054e-09	263.0815	-0.03326797	-28.586105	3.2926986	0.012020142	0.18071806	79.0	240.4567210674286
9	45.53846	41.94248	95.0	-80.0	360.57693	9.058639	6.25999	19.348759	-22.178234	100000	5.7431557e-09	225.33154	-0.016218103	-22.787445	3.2751362	0.015329755	0.19511952	13.0	266.1980941295624
10	69.4375	27.617859	100.0	-20.0	297.15625	8.200119	5.7069964	19.97842	-22.030022	110000	-9.313226e-10	209.7032	-0.031023564	-51.031616	3.269371	0.014306474	0.16751675	79.0	289.7562668323517
11	66.74074	25.559795	95.0	4.0	326.14816	13.737977	6.1085496	23.567904	-23.264772	120000	6.2088173e-10	179.05681	-0.033248186	-12.476791	3.23406	0.011679183	0.1741174	79.0	316.10005235671997
12	69.26667	26.23475	94.0	-20.0	314.53333	13.155021	5.589529	22.015724	-23.863728	130000	-8.556526e-09	179.7653	-0.033384424	-13.03394	3.235781	0.011161941	0.17611761	79.0	342.3422255516052
13	78.05882	19.73045	100.0	29.0	282.08823	15.478791	5.465028	23.62315	-14.586285	140000	0.0	187.1032	-0.03376664	-20.652563	3.2105863	0.012728524	0.17841785	79.0	369.05070996284485
14	81.29412	15.528966	95.0	26.0	284.29413	17.780632	5.6090307	26.54904	-17.958317	150000	-1.2417634e-08	163.27318	-0.03140992	-12.3667555	3.1928875	0.012413081	0.16951697	79.0	396.5083694458008
15	79.85714	15.770031	97.0	38.0	273.14285	19.607252	4.6269765	27.01044	-17.764095	160000	-7.450581e-09	164.01625	-0.033666033	-7.387873	3.1817646	0.01491462	0.18571858	79.0	424.7864279747009
16	78.52941	19.751747	98.0	12.0	277.7353	19.496895	5.539914	27.440535	-18.447643	170000	1.9868216e-08	178.13728	-0.033639684	-10.950496	3.1442187	0.013096266	0.18631864	79.0	453.90960931777954
17	84.86487	8.367125	97.0	59.0	254.75676	20.22915	4.1991835	27.593195	-1.532726	180000	-4.967054e-09	165.13446	-0.03301321	-15.247609	3.1353066	0.011503294	0.1861186	79.0	480.50503516197205
18	79.35294	13.67239	100.0	36.0	279.7353	22.276258	4.69453	30.37486	-23.812424	190000	1.6142925e-08	198.0848	-0.03152654	-25.82746	3.0817335	0.013127889	0.18641865	79.0	507.68940782546997
19	81.818184	13.342697	99.0	30.0	272.0606	19.442179	4.5539594	29.017042	-20.074581	200000	1.3038516e-08	186.81488	-0.023385646	-31.074945	3.0687268	0.015078421	0.14951496	30.0	534.3120996952057
20	81.02941	13.814922	98.0	42.0	281.17648	18.63277	6.0518084	28.711115	-20.79596	210000	4.967054e-09	165.0686	-0.034409758	-13.5633955	3.0422077	0.011260849	0.19971997	79.0	563.272703409195
21	85.61539	8.946036	95.0	58.0	241.25641	20.432037	3.5988343	28.1016	-4.5964193	220000	-3.7252903e-09	137.41078	-0.031709176	-13.129463	3.0445502	0.013015541	0.18681867	79.0	590.1589341163635
22	85.947365	9.219395	98.0	55.0	247.3158	21.806465	5.222323	31.466196	-11.441786	230000	4.967054e-09	160.42137	-0.033188295	-11.685086	3.0143836	0.013734656	0.20142014	79.0	616.9287805557251
23	87.2	6.527634	96.0	69.0	239.225	22.091726	5.030767	32.451412	-20.762407	240000	-1.2417635e-09	159.7938	-0.029501542	-10.595462	2.9954655	0.013457061	0.17851786	79.0	642.499251127243
24	86.04878	8.513837	96.0	51.0	237.78049	23.53019	4.782659	33.8405	-2.4327288	250000	-8.071463e-09	147.69753	-0.03132007	-12.931394	2.972642	0.011919103	0.18451846	79.0	669.52010679245
